,artist,album,albumcount,year
236913,Rod Stewart,Vagabond Heart,81,1991
240967,SHeDAISY,The Whole Shebang,102,1999
241411,Sade,Love Deluxe,103,1992
241475,Sade,The Best Of Sade,99,1994
241818,Salt-N-Pepa,Very Necessary,89,1993
243812,Sarah McLachlan,Fumbling Towards Ecstasy,100,1993
243915,Sarah McLachlan,Surfacing,108,1997
244062,Savage Garden,Savage Garden,104,1997
247900,Shania Twain,Come On Over,151,1997
247952,Shania Twain,The Woman In Me,107,1995
249194,Sheryl Crow,Tuesday Night Music Club,100,1993
255992,Soundgarden,Superunknown,80,1994
259052,Soundtrack,Grease,79,1994
262387,Soundtrack,Sleepless In Seattle,79,1993
264653,Soundtrack,Top Gun,94,1999
265858,Spice Girls,Spice,105,1996
265900,Spin Doctors,Pocket Full Of Kryptonite,115,1991
270735,Stone Temple Pilots,Core,117,1992
271781,Sublime,Sublime,151,1996
274764,TLC,CrazySexyCool,119,1994
283063,The Black Crowes,Shake Your Money Maker,165,1990
286615,The Cranberries,"Everybody Else Is Doing It, So Why Can't We?",130,1993
286627,The Cranberries,No Need To Argue,90,1994
292714,The Jerky Boys,The Jerky Boys,95,1993
297992,The Notorious B.I.G.,Life After Death,87,1997
298460,The Offspring,Smash,101,1994
302767,The Smashing Pumpkins,Mellon Collie And The Infinite Sadness,93,1995
302878,The Smashing Pumpkins,Siamese Dream,91,1993
309763,Third Eye Blind,Third Eye Blind,106,1997
311252,Tim McGraw,A Place In The Sun,86,1999
311301,Tim McGraw,Everywhere,104,1997
311387,Tim McGraw,Not A Moment Too Soon,115,1994
312388,Toby Keith,How Do You Like Me Now?!,92,1999
314484,Toni Braxton,Secrets,92,1996
314516,Toni Braxton,Toni Braxton,96,1993
316678,Tracy Byrd,No Ordinary Man,78,1994
316736,Tracy Chapman,New Beginning,95,1995
317773,Travis Tritt,Country Club,99,1990
317809,Travis Tritt,It's All About To Change,94,1991
321032,U2,Achtung Baby,101,1991
324109,Vanessa Williams,The Comfort Zone,91,1991
337611,Vince Gill,I Still Believe In You,100,1992
337660,Vince Gill,Pocket Full Of Gold,98,1991
337709,Vince Gill,When Love Finds You,112,1994
341032,White Zombie,"Astro Creep: 2000 Songs Of Love, Destruction",88,1995
341295,Whitney Houston,My Love Is Your Love,87,1998
341319,Whitney Houston,The Bodyguard,155,1992
341915,Will Smith,Big Willie Style,99,1997
343084,Wilson Phillips,Wilson Phillips,125,1990
345509,Yanni,Reflections Of Passion,93,1990
348974,dc Talk,Jesus Freak,79,1995
349713,matchbox 20,Yourself Or Someone Like You,121,1996
