,id,song,album,artist,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,album_id,date
397,3BDxv4ORzOpXAsa4lWVl4i,(Fuck A) Silver Lining,Pray For The Wicked,Panic! At The Disco,0.0272,0.577,168613.0,0.939,0.0,1.0,0.24,-1.352,0.0,0.108,105.092,4.0,0.714,6ApYSpXF8GxZAgBTHDzYge,2018-06-22
398,76vMKwFtdDDCLcM6zXybjB,Say Amen (Saturday Night),Pray For The Wicked,Panic! At The Disco,0.167,0.491,189187.0,0.867,0.0,6.0,0.458,-2.313,0.0,0.103,167.965,4.0,0.602,6ApYSpXF8GxZAgBTHDzYge,2018-06-22
399,22oEJW6r2rMb9z4IntfyEa,"Hey Look Ma, I Made It",Pray For The Wicked,Panic! At The Disco,0.0137,0.577,169667.0,0.833,0.0,5.0,0.121,-3.337,1.0,0.0695,107.936,4.0,0.58,6ApYSpXF8GxZAgBTHDzYge,2018-06-22
400,1rqqCSm0Qe4I9rUvWncaom,High Hopes,Pray For The Wicked,Panic! At The Disco,0.193,0.579,190947.0,0.904,0.0,5.0,0.064,-2.729,1.0,0.0618,82.014,4.0,0.681,6ApYSpXF8GxZAgBTHDzYge,2018-06-22
401,0wdV94AXGRphrbkDWLNzVC,Roaring 20s,Pray For The Wicked,Panic! At The Disco,0.0467,0.271,186600.0,0.948,0.0,1.0,0.163,-2.207,1.0,0.263,83.19,4.0,0.515,6ApYSpXF8GxZAgBTHDzYge,2018-06-22
402,6PFoEnjp0PAe5siGswjH9i,Dancing's Not A Crime,Pray For The Wicked,Panic! At The Disco,0.0375,0.526,219467.0,0.891,0.0,6.0,0.375,-1.549,1.0,0.0482,94.095,4.0,0.804,6ApYSpXF8GxZAgBTHDzYge,2018-06-22
403,5trCWbYtza0QUxdmF9HAPX,One Of The Drunks,Pray For The Wicked,Panic! At The Disco,0.0426,0.424,198947.0,0.892,0.0,8.0,0.711,-3.78,0.0,0.193,174.008,4.0,0.762,6ApYSpXF8GxZAgBTHDzYge,2018-06-22
404,4hUR3thIs01mQUtVmZFJ8F,The Overpass,Pray For The Wicked,Panic! At The Disco,0.0224,0.517,177800.0,0.955,0.0,10.0,0.364,-1.848,0.0,0.167,132.951,4.0,0.61,6ApYSpXF8GxZAgBTHDzYge,2018-06-22
405,50Hv5NZIM0puIUoBttjpfb,King Of The Clouds,Pray For The Wicked,Panic! At The Disco,0.237,0.285,160747.0,0.922,0.0,2.0,0.159,-1.932,0.0,0.247,198.063,3.0,0.472,6ApYSpXF8GxZAgBTHDzYge,2018-06-22
406,18ULKfQl3KpCnklAKFfO2t,Old Fashioned,Pray For The Wicked,Panic! At The Disco,0.0133,0.52,166733.0,0.878,0.0,6.0,0.0433,-1.768,0.0,0.0616,168.033,4.0,0.783,6ApYSpXF8GxZAgBTHDzYge,2018-06-22
407,18xmRkPWE0sGUzFyNNAAhN,Dying In LA,Pray For The Wicked,Panic! At The Disco,0.876,0.346,229053.0,0.35,1.98e-06,2.0,0.0708,-4.988,1.0,0.0328,126.444,4.0,0.315,6ApYSpXF8GxZAgBTHDzYge,2018-06-22
408,2yLa0QULdQr0qAIvVwN6B5,...Ready For It?,reputation,Taylor Swift,0.0527,0.613,208187.0,0.764,0.0,2.0,0.197,-6.509,1.0,0.136,160.015,4.0,0.417,6DEjYFkNZh67HP7R9PSZvv,2017-11-10
409,2x0WlnmfG39ZuDmstl9xfX,End Game,reputation,Taylor Swift,0.00845,0.649,244827.0,0.589,0.0,2.0,0.108,-6.237,1.0,0.0558,159.073,4.0,0.151,6DEjYFkNZh67HP7R9PSZvv,2017-11-10
410,4svZDCRz4cJoneBpjpx8DJ,I Did Something Bad,reputation,Taylor Swift,0.0679,0.696,238253.0,0.602,2.11e-05,0.0,0.0696,-6.156,0.0,0.159,82.989,4.0,0.305,6DEjYFkNZh67HP7R9PSZvv,2017-11-10
411,1R0a2iXumgCiFb7HEZ7gUE,Don’t Blame Me,reputation,Taylor Swift,0.106,0.615,236413.0,0.534,1.76e-05,9.0,0.0607,-6.719,0.0,0.0386,135.917,4.0,0.193,6DEjYFkNZh67HP7R9PSZvv,2017-11-10
412,6NFyWDv5CjfwuzoCkw47Xf,Delicate,reputation,Taylor Swift,0.216,0.75,232253.0,0.404,0.000357,9.0,0.0911,-10.178,0.0,0.0682,95.045,4.0,0.0499,6DEjYFkNZh67HP7R9PSZvv,2017-11-10
413,1P17dC1amhFzptugyAO7Il,Look What You Made Me Do,reputation,Taylor Swift,0.204,0.766,211853.0,0.709,1.41e-05,9.0,0.126,-6.471,0.0,0.123,128.07,4.0,0.506,6DEjYFkNZh67HP7R9PSZvv,2017-11-10
414,5PxFv9yJEg9dxvbZggykro,So It Goes...,reputation,Taylor Swift,0.122,0.574,227907.0,0.61,1.1e-06,2.0,0.13,-7.283,1.0,0.0732,74.957,4.0,0.374,6DEjYFkNZh67HP7R9PSZvv,2017-11-10
415,1ZY1PqizIl78geGM4xWlEA,Gorgeous,reputation,Taylor Swift,0.0713,0.8,209680.0,0.535,9.48e-06,7.0,0.213,-6.684,1.0,0.135,92.027,4.0,0.451,6DEjYFkNZh67HP7R9PSZvv,2017-11-10
416,0VE4kBnHJUgtMf0dy6DRmW,Getaway Car,reputation,Taylor Swift,0.00465,0.562,233627.0,0.689,2.23e-06,2.0,0.0888,-6.745,1.0,0.127,172.054,4.0,0.351,6DEjYFkNZh67HP7R9PSZvv,2017-11-10
417,7HuBDWi18s4aJM8UFnNheH,King Of My Heart,reputation,Taylor Swift,0.00882,0.675,214320.0,0.703,2.21e-06,0.0,0.0391,-7.902,1.0,0.0382,110.01,4.0,0.314,6DEjYFkNZh67HP7R9PSZvv,2017-11-10
418,7I7JbDv63ZJJsSi24DyJrz,Dancing With Our Hands Tied,reputation,Taylor Swift,0.0604,0.624,211507.0,0.691,1.1e-05,0.0,0.138,-6.686,0.0,0.196,160.024,4.0,0.284,6DEjYFkNZh67HP7R9PSZvv,2017-11-10
