,artist,album,albumcount,year
3307,A$AP Rocky,Long.Live.A$AP,79,2013
4175,AWOLNATION,Megalithic Symphony,111,2013
5375,Adele,21,396,2011
5386,Adele,25,158,2016
7580,Alabama Shakes,Boys & Girls,79,2012
7724,Alan Jackson,Don't Rock The Jukebox,118,2010
8693,Alessia Cara,Know-It-All,92,2015
12204,Andrea Bocelli,Romanza,91,2016
13991,Anita Baker,Rapture,157,2011
15483,Arctic Monkeys,AM,123,2013
16020,Ariana Grande,Dangerous Woman,131,2016
16035,Ariana Grande,My Everything,88,2014
23709,Bastille,Bad Blood,86,2013
27300,Beyonce,4,78,2011
27345,Beyonce,Beyonce,183,2014
28098,Big Sean,Dark Sky Paradise,106,2015
32799,Blake Shelton,Based On A True Story ...,130,2013
32873,Blake Shelton,Loaded: The Best Of Blake Shelton,174,2010
32902,Blake Shelton,Red River Blue,166,2011
32915,Blake Shelton,Reloaded: 20 #1 Hits,136,2015
36560,Bob Seger & The Silver Bullet Band,Ultimate Hits: Rock And Roll Never Forgets,109,2011
37751,Bon Jovi,Greatest Hits: The Ultimate Collection,114,2010
40773,Brantley Gilbert,Halfway To Heaven,135,2010
40788,Brantley Gilbert,Just As I Am,101,2015
41474,Brett Young,Brett Young,99,2017
44129,Bruno Mars,24K Magic,111,2016
44138,Bruno Mars,Doo-Wops & Hooligans,404,2010
44149,Bruno Mars,Unorthodox Jukebox,203,2012
44492,Bryson Tiller,T R A P S O U L,167,2015
45968,Bush,Sixteen Stone,109,2014
49933,Carrie Underwood,Blown Away,92,2012
49973,Carrie Underwood,Greatest Hits: Decade #1,144,2014
50461,Casting Crowns,Come To The Well,83,2011
51969,Chance The Rapper,Coloring Book,122,2016
52592,Charlie Puth,Nine Track Mind,97,2016
54857,Childish Gambino,Because The Internet,140,2013
56311,Chris Stapleton,From A Room: Volume 1,87,2017
56321,Chris Stapleton,Traveller,173,2015
59720,Cole Swindell,Cole Swindell,99,2014
68938,Dave Matthews Band,Under The Table And Dreaming,117,2014
77928,Disturbed,Immortalized,86,2015
77986,Disturbed,The Sickness,106,2010
80789,Dr. Dre,The Chronic,95,2011
81034,Drake,If You're Reading This It's Too Late,191,2015
81051,Drake,More Life,94,2017
81073,Drake,Nothing Was The Same,267,2013
81131,Drake,Take Care,305,2011
81150,Drake,Thank Me Later,93,2010
81164,Drake,Views,140,2016
82125,Dua Lipa,Dua Lipa,79,2017
84641,Ed Sheeran,x,237,2014
84657,Ed Sheeran,÷ (Divide),96,2017
86682,Ellie Goulding,Halcyon,93,2013
87223,Elton John,Rocket Man: Number Ones,88,2011
89225,Eminem,Recovery,320,2010
90919,Eric Church,Chief,154,2011
90941,Eric Church,Mr. Misunderstood,109,2015
90964,Eric Church,The Outsiders,102,2014
94301,Fall Out Boy,American Beauty / American Psycho,95,2015
94400,Fall Out Boy,Save Rock And Roll,149,2013
95476,Fetty Wap,Fetty Wap,93,2015
97198,Flo Rida,My House (EP),78,2015
97469,Florida Georgia Line,Anything Goes,101,2014
97481,Florida Georgia Line,Dig Your Roots,113,2016
97515,Florida Georgia Line,Here's To The Good Times,261,2012
99468,Frank Ocean,Blonde,111,2016
101942,Future,DS2,137,2015
102202,G-Eazy,These Things Happen,138,2014
102218,G-Eazy,When It's Dark Out,97,2015
103227,Garth Brooks,Garth Brooks,224,2015
103252,Garth Brooks,No Fences,224,2012
114808,Halsey,Badlands,149,2015
114829,Halsey,hopeless fountain kingdom,83,2017
120590,Hozier,Hozier,172,2014
120722,Huey Lewis & The News,Sports,160,2013
120982,Hunter Hayes,Hunter Hayes,121,2011
