,artist,album,albumcount,year
122817,Imagine Dragons,Evolve,80,2017
122829,Imagine Dragons,Night Visions,327,2012
122856,Imagine Dragons,Smoke + Mirrors,117,2015
125622,J. Cole,2014 Forest Hills Drive,213,2014
125645,J. Cole,Born Sinner,104,2013
127977,James Bay,Chaos And The Calm,86,2014
130423,Jason Aldean,My Kinda Party,171,2010
130438,Jason Aldean,Night Train,106,2012
141259,John Legend,Love In The Future,91,2013
145014,Jon Pardi,California Sunrise,126,2016
145096,Jonas Brothers,Jonas Brothers,78,2019
148242,Julio Iglesias,Julio,89,2017
148522,Justin Bieber,My World 2.0,125,2010
148549,Justin Bieber,Purpose,151,2015
150373,Kane Brown,Kane Brown,109,2017
150613,Kanye West,My Beautiful Dark Twisted Fantasy,113,2010
150647,Kanye West,The Life Of Pablo,127,2016
151674,Katy Perry,PRISM,102,2013
151690,Katy Perry,Teenage Dream,236,2012
151807,Ke$ha,Animal,85,2010
152650,Keith Urban,Ripcord,115,2016
153073,Kelsea Ballerini,The First Time,100,2015
153166,Kendrick Lamar,DAMN.,90,2017
153196,Kendrick Lamar,To Pimp A Butterfly,125,2015
153212,Kendrick Lamar,"good kid, m.A.A.d city",323,2012
154447,Kevin Gates,Islah,107,2016
154706,Khalid,American Teen,96,2017
160473,Lady Antebellum,Need You Now,129,2010
160982,Lana Del Rey,Born To Die,315,2012
161725,Lauren Daigle,How Can It Be,123,2015
162813,Lee Brice,Hard 2 Love,80,2012
165436,Lil Uzi Vert,Lil Uzi Vert Vs. The World,89,2016
166977,Lindsey Stirling,Lindsey Stirling,96,2012
169715,Lorde,Pure Heroine,107,2013
173077,Luke Bryan,Crash My Party,233,2013
173117,Luke Bryan,Kill The Lights,119,2015
173161,Luke Bryan,Tailgates & Tanlines,214,2011
173189,Luke Combs,This One's For You,83,2018
175807,Macklemore & Ryan Lewis,The Heist,102,2012
178474,Maren Morris,Hero,80,2017
180049,Maroon 5,Hands All Over,124,2010
180076,Maroon 5,Overexposed,95,2012
180133,Maroon 5,V,123,2015
184472,Meghan Trainor,Title,107,2015
184627,Melanie Martinez,Cry Baby,116,2015
189606,Milli Vanilli,Girl You Know It's True,78,2013
190405,Miranda Lambert,Four The Record,108,2011
193884,Mumford & Sons,Babel,108,2012
200784,Nicki Minaj,The Pinkprint,123,2014
204179,Of Monsters And Men,My Head Is An Animal,107,2012
205221,One Direction,Midnight Memories,88,2013
205256,One Direction,Up All Night,104,2012
205343,OneRepublic,Native,143,2014
205838,Original Broadway Cast Recording,Hamilton: An American Musical,171,2015
206496,Original Broadway Cast Recording,Wicked,114,2013
207143,Original Cast,Oliver!,90,2012
209089,P!nk,Greatest Hits... So Far!!!,131,2010
209134,P!nk,The Truth About Love,94,2012
209838,Panic! At The Disco,Death Of A Bachelor,155,2016
209861,Panic! At The Disco,"Too Weird To Live, Too Rare To Die!",109,2013
221355,Post Malone,Stoney,108,2016
226558,Rae Sremmurd,SremmLife,122,2015
233875,Rihanna,ANTI,153,2016
238964,Roy Orbison,Roy Orbison's Greatest Hits,122,2014
240191,Russ,There's Really A Wolf,81,2017
241274,SZA,Ctrl,82,2017
242083,Sam Hunt,Montevallo,210,2014
242155,Sam Smith,In The Lonely Hour,236,2014
245534,Seal,Seal,181,2016
248379,Shawn Mendes,Handwritten,124,2015
248392,Shawn Mendes,Illuminate,112,2017
249878,Sia,1000 Forms Of Fear,117,2015
249925,Sia,This Is Acting,83,2016
252037,Skrillex,Scary Monsters And Nice Sprites (EP),96,2010
257389,Soundtrack,Camelot,87,2012
258332,Soundtrack,Fame,91,2013
258364,Soundtrack,Fiddler On The Roof,90,2016
258660,Soundtrack,Frozen,118,2013
259153,Soundtrack,Guardians Of The Galaxy: Awesome Mix Vol. 1,132,2015
260247,Soundtrack,Lawrence Of Arabia,94,2011
260657,Soundtrack,Mary Poppins,122,2018
260883,Soundtrack,Moana,111,2016
260934,Soundtrack,Mondo Cane,102,2018
262519,Soundtrack,Space Jam,82,2011
263812,Soundtrack,The Lion King,88,2019
264802,Soundtrack,Twilight,95,2010
269465,Steve Winwood,Back In The Highlife,86,2013
275642,Tamela Mann,Best Days,87,2012
276631,Taylor Swift,1989,212,2014
276658,Taylor Swift,Red,151,2012
276680,Taylor Swift,Speak Now,137,2010
281422,The Band Perry,The Band Perry,130,2010
281965,The Beach Boys,Surfin' U.S.A.,95,2011
283280,The Black Keys,Brothers,145,2010
283303,The Black Keys,El Camino,100,2011
285664,The Civil Wars,Barton Hollow,102,2011
294930,The Lumineers,Cleopatra,114,2016
294941,The Lumineers,The Lumineers,130,2012
303873,The Steve Miller Band,Fly Like An Eagle,97,2015
307498,The Weeknd,Beauty Behind The Madness,174,2015
307528,The Weeknd,Starboy,110,2016
307546,The Weeknd,Trilogy,197,2012
310040,Thomas Rhett,Tangled Up,155,2015
311397,Tim McGraw,Number One Hits,126,2010
311742,Tina Turner,Private Dancer,106,2015
317221,Train,"Save Me, San Francisco",110,2010
317743,Travis Scott,Birds In The Trap Sing McKnight,122,2016
344770,X Ambassadors,VHS,84,2015
348076,Zac Brown Band,Greatest Hits So Far...,193,2014
348150,Zac Brown Band,Uncaged,102,2012
348171,Zac Brown Band,You Get What You Give,171,2010
349414,fun.,Some Nights,92,2012
349542,k.d. lang,Ingenue,90,2017
350341,twenty one pilots,Blurryface,190,2015
350369,twenty one pilots,Vessel,168,2013
