,artist,album,albumcount,year
6783,Al Hirt,Honey In The Horn,104,1963
7080,Al Martino,I Love You Because,83,1963
13142,Andy Williams,Days Of Wine And Roses,122,1963
13196,Andy Williams,Moon River & Other Great Movie Themes,142,1962
22138,Barbra Streisand,People,84,1964
22193,Barbra Streisand,The Barbra Streisand Album,115,1963
29149,Bill Cosby,"Bill Cosby Is A Very Funny Fellow, Right!",128,1963
29193,Bill Cosby,I Started Out As A Child,140,1964
29264,Bill Cosby,Why Is There Air?,152,1965
29272,Bill Cosby,Wonderfulness,106,1966
35151,Bob Dylan,Bob Dylan's Greatest Hits,94,1967
45826,Burt Bacharach,Make It Easy On Yourself,87,1969
54381,Chicago,Chicago Transit Authority,171,1969
62509,Cream,Disraeli Gears,83,1967
62520,Cream,Fresh Cream,92,1966
62636,Creedence Clearwater Revival,Bayou Country,88,1969
62692,Creedence Clearwater Revival,Green River,88,1969
84551,Ed Ames,My Cup Runneth Over,81,1967
89953,Engelbert Humperdinck,A Man Without Love,78,1968
108281,Glen Campbell,By The Time I Get To Phoenix,80,1967
117995,Herb Alpert & The Tijuana Brass,!!Going Places!!,164,1965
118038,Herb Alpert & The Tijuana Brass,Lonely Bull,133,1962
118062,Herb Alpert & The Tijuana Brass,South Of The Border,163,1964
118087,Herb Alpert & The Tijuana Brass,What Now My Love,129,1966
118101,Herb Alpert's Tijuana Brass,Whipped Cream & Other Delights,185,1965
124568,Iron Butterfly,In-A-Gadda-Da-Vida,140,1968
124932,Isaac Hayes,Hot Buttered Soul,81,1969
143226,Johnny Cash,Johnny Cash At Folsom Prison,124,1968
144036,Johnny Mathis,Johnny's Greatest Hits,247,1958
162554,Led Zeppelin,Led Zeppelin II,117,1969
171183,Lou Rawls,Lou Rawls Live,82,1966
196476,Nat King Cole,Ramblin' Rose,147,1962
198491,Neil Young,Everybody Knows This Is Nowhere,98,1969
207106,Original Cast,My Fair Lady,108,1956
207450,Original Cast Recording,Camelot,164,1960
217210,"Peter, Paul & Mary",Album 1700,82,1967
217222,"Peter, Paul & Mary",In The Wind,80,1963
229113,Ray Conniff,Somewhere My Love,90,1966
250673,Simon & Garfunkel,"Parsley, Sage, Rosemary And Thyme",145,1966
250749,Simon & Garfunkel,Sounds Of Silence,141,1966
253384,Sly & The Family Stone,Stand!,102,1969
261002,Soundtrack,My Fair Lady,111,1964
264165,Soundtrack,The Sound Of Music,238,1965
265098,Soundtrack,West Side Story,136,1960
267028,Stan Getz And Joao Gilberto Featuring Antonio Carlos Jobim,Getz/Gilberto,96,1964
268414,Steppenwolf,Steppenwolf,87,1968
280594,The Animals,The Best Of The Animals,115,1966
282155,The Beatles,Abbey Road,290,1969
282439,The Beatles,Magical Mystery Tour (Soundtrack),93,1967
282563,The Beatles,Revolver,85,1966
282592,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,223,1967
282681,The Beatles,The Beatles [White Album],193,1968
288603,The Doors,The Doors,122,1967
296431,The Monkees,More Of The Monkees,96,1967
296703,The Moody Blues,On The Threshold Of A Dream,136,1969
300437,The Rascals,The Young Rascals,84,1966
304836,The Supremes,Where Did Our Love Go,89,1964
305473,The Temptations,The Temptations Greatest Hits,120,1966
308255,The Who,Tommy,126,1969
314701,Tony Bennett,I Left My Heart In San Francisco,123,1962
324184,Vanilla Fudge,Vanilla Fudge,80,1967
