,id,song,album,artist,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,album_id,date
136,2yg9UN4eo5eMVJ7OB4RWj3,Survival,Scorpion,Drake,0.133,0.607,136187.0,0.596,0.0,9.0,0.123,-9.09,0.0,0.358,77.324,4.0,0.149,1ATL5GLyefJaxhQzSPVrLX,2018-06-29
137,0TlLq3lA83rQOYtrqBqSct,Nonstop,Scorpion,Drake,0.0164,0.912,238614.0,0.412,0.013,7.0,0.104,-8.074,1.0,0.124,154.983,4.0,0.422,1ATL5GLyefJaxhQzSPVrLX,2018-06-29
138,3szf2z1Cy1QMrtHrbn8rz9,Elevate,Scorpion,Drake,0.015,0.758,184960.0,0.474,0.0,1.0,0.116,-8.72,1.0,0.146,76.062,4.0,0.0541,1ATL5GLyefJaxhQzSPVrLX,2018-06-29
139,5Psnhdkyanjpgc2P8A5TSM,Emotionless,Scorpion,Drake,0.0249,0.413,302173.0,0.677,0.0,1.0,0.0793,-5.12,1.0,0.255,172.501,4.0,0.0845,1ATL5GLyefJaxhQzSPVrLX,2018-06-29
140,6DCZcSspjsKoFjzjrWoCdn,God's Plan,Scorpion,Drake,0.0332,0.754,198973.0,0.449,8.29e-05,7.0,0.552,-9.211,1.0,0.109,77.169,4.0,0.357,1ATL5GLyefJaxhQzSPVrLX,2018-06-29
141,3qN5qMTKyEEmiTZD38BNTT,I'm Upset,Scorpion,Drake,0.279,0.899,214467.0,0.586,0.0,11.0,0.0836,-7.866,0.0,0.344,150.001,4.0,0.492,1ATL5GLyefJaxhQzSPVrLX,2018-06-29
142,0zqy3ss4CwD6u4QPksS0nI,8 Out Of 10,Scorpion,Drake,0.161,0.529,195720.0,0.69,0.0,2.0,0.498,-7.87,1.0,0.74,170.54,4.0,0.311,1ATL5GLyefJaxhQzSPVrLX,2018-06-29
143,7rC5Pl8rQSX4myONQHYPBK,Mob Ties,Scorpion,Drake,0.0456,0.755,205147.0,0.575,0.00124,4.0,0.276,-8.393,0.0,0.0678,85.987,4.0,0.49,1ATL5GLyefJaxhQzSPVrLX,2018-06-29
144,1dUHF4RyMmMTveJ0Rby6Xm,Can’t Take A Joke,Scorpion,Drake,0.128,0.761,163974.0,0.598,0.0,10.0,0.0839,-7.249,0.0,0.182,173.897,4.0,0.447,1ATL5GLyefJaxhQzSPVrLX,2018-06-29
145,6cblRiEGDRNZgowcm951R3,Sandra’s Rose,Scorpion,Drake,0.0481,0.487,216333.0,0.849,0.0,1.0,0.143,-5.432,1.0,0.246,152.093,4.0,0.52,1ATL5GLyefJaxhQzSPVrLX,2018-06-29
