,id,song,album,artist,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,album_id,date
786,6S89Xbg2YPxmS5VfDBlZVt,Only the Young,Journey's Greatest Hits,Journey,0.0127,0.334,245960.0,0.839,0.0,7.0,0.311,-6.2,1.0,0.04,72.479,4.0,0.504,1Gtf2hZQlOGVER16uemmzR,2006-07-31
787,5ehcf6UL1TkwozB386cRAp,Don't Stop Believin',Journey's Greatest Hits,Journey,0.257,0.494,249093.0,0.805,0.0,4.0,0.356,-7.087,1.0,0.0421,119.027,4.0,0.465,1Gtf2hZQlOGVER16uemmzR,2006-07-31
788,5i36c6C2XRw8U71yWgcoTn,Wheel in the Sky,Journey's Greatest Hits,Journey,0.053,0.449,252507.0,0.764,3.88e-06,2.0,0.129,-7.029,0.0,0.0636,105.807,4.0,0.431,1Gtf2hZQlOGVER16uemmzR,2006-07-31
789,7aNk0hjd9VCAoBirwg6aYZ,Faithfully,Journey's Greatest Hits,Journey,0.262,0.403,266253.0,0.555,0.0,11.0,0.096,-7.765,1.0,0.0288,129.421,4.0,0.289,1Gtf2hZQlOGVER16uemmzR,2006-07-31
790,2PWldJzHn86WNueLuH7bV0,I'll Be Alright Without You,Journey's Greatest Hits,Journey,0.117,0.586,273973.0,0.742,3.99e-05,2.0,0.0702,-6.836,1.0,0.0269,97.378,4.0,0.538,1Gtf2hZQlOGVER16uemmzR,2006-07-31
791,4UVKy0DI1hOlL8xF99Ba5j,Any Way You Want It,Journey's Greatest Hits,Journey,0.000376,0.517,202320.0,0.928,0.00884,7.0,0.136,-7.152,1.0,0.0479,138.157,4.0,0.597,1Gtf2hZQlOGVER16uemmzR,2006-07-31
792,6F4EsDGCNB3YfjE6WvH9NB,Ask the Lonely,Journey's Greatest Hits,Journey,0.239,0.494,234267.0,0.875,1.71e-06,0.0,0.185,-6.537,1.0,0.039,128.396,4.0,0.801,1Gtf2hZQlOGVER16uemmzR,2006-07-31
793,5v74lHodmN9UX0dP0q8Jxq,Who's Crying Now,Journey's Greatest Hits,Journey,0.0984,0.567,301160.0,0.609,0.0,9.0,0.118,-7.466,0.0,0.0289,122.428,4.0,0.424,1Gtf2hZQlOGVER16uemmzR,2006-07-31
794,59XnaH9k3ZYBUpBHM6PAfE,Separate Ways (Worlds Apart),Journey's Greatest Hits,Journey,0.0545,0.436,325947.0,0.931,0.0,4.0,0.174,-6.556,0.0,0.0624,131.467,4.0,0.444,1Gtf2hZQlOGVER16uemmzR,2006-07-31
795,7LMMvfOjBXsIpvrGjULZKC,Lights,Journey's Greatest Hits,Journey,0.113,0.189,190693.0,0.617,0.00197,7.0,0.312,-7.665,1.0,0.0463,204.662,3.0,0.384,1Gtf2hZQlOGVER16uemmzR,2006-07-31
796,10O20qYuUZHVNKdLZ7lG1h,"Lovin', Touchin', Squeezin'",Journey's Greatest Hits,Journey,0.0648,0.391,234400.0,0.671,0.000232,2.0,0.0871,-7.958,1.0,0.0481,211.397,3.0,0.71,1Gtf2hZQlOGVER16uemmzR,2006-07-31
797,7xSodlywi4UVAR2HwjA4yX,Open Arms,Journey's Greatest Hits,Journey,0.619,0.409,198720.0,0.253,0.0,2.0,0.167,-9.78,1.0,0.0271,101.545,3.0,0.139,1Gtf2hZQlOGVER16uemmzR,2006-07-31
798,51G8Ktb8odD9IPjw2FScgX,Girl Can't Help It,Journey's Greatest Hits,Journey,0.0302,0.56,230347.0,0.833,1.49e-05,9.0,0.37,-6.345,0.0,0.0493,125.709,4.0,0.505,1Gtf2hZQlOGVER16uemmzR,2006-07-31
799,7hqkC8p8kYW16Af65DTdeN,Send Her My Love,Journey's Greatest Hits,Journey,0.153,0.488,234733.0,0.666,0.0,4.0,0.336,-7.971,0.0,0.0388,125.497,4.0,0.229,1Gtf2hZQlOGVER16uemmzR,2006-07-31
800,1h5COfxTCKvdYyBxv2ksD1,Be Good to Yourself,Journey's Greatest Hits,Journey,0.018,0.415,231613.0,0.977,1.03e-05,0.0,0.348,-4.844,1.0,0.0659,149.221,4.0,0.352,1Gtf2hZQlOGVER16uemmzR,2006-07-31
801,6PKbhUbTWUfRHSb6qEt6Rw,When You Love a Woman,Journey's Greatest Hits,Journey,0.323,0.534,250160.0,0.48,0.0,1.0,0.171,-6.727,1.0,0.0266,131.808,4.0,0.213,1Gtf2hZQlOGVER16uemmzR,2006-07-31
1702,1cCwhFAlkZdbQ7nVFgS9I5,I Want You Back,The Essential Michael Jackson,Michael Jackson,0.268,0.668,178760.0,0.723,0.00491,8.0,0.23,-6.54,1.0,0.0323,98.324,4.0,0.949,77dNyQA0z8dV33M4so4eRY,2005-07-19
1703,6z1t237CaXitMg1i7oGooE,ABC,The Essential Michael Jackson,Michael Jackson,0.442,0.688,177133.0,0.859,4.9e-05,8.0,0.262,-4.428,1.0,0.0404,93.626,4.0,0.96,77dNyQA0z8dV33M4so4eRY,2005-07-19
1704,3VlrkNbaDfjxhkqHe0gLXh,The Love You Save,The Essential Michael Jackson,Michael Jackson,0.295,0.75,185107.0,0.905,0.0,0.0,0.0833,-3.965,1.0,0.0443,113.418,4.0,0.924,77dNyQA0z8dV33M4so4eRY,2005-07-19
1705,4lF79ulfzVPTRIkkZObCOH,Got to Be There - Single Version,The Essential Michael Jackson,Michael Jackson,0.308,0.322,205027.0,0.756,2.15e-05,1.0,0.122,-4.31,1.0,0.0832,171.735,4.0,0.601,77dNyQA0z8dV33M4so4eRY,2005-07-19
1706,5EcNgf6BlaBpHuEGEyqJgj,Rockin' Robin,The Essential Michael Jackson,Michael Jackson,0.255,0.629,152827.0,0.821,8.3e-05,10.0,0.292,-4.964,1.0,0.136,172.921,4.0,0.967,77dNyQA0z8dV33M4so4eRY,2005-07-19
1707,2x1sYWAXomiTwWWwd6yQPb,Ben - Single Version,The Essential Michael Jackson,Michael Jackson,0.883,0.4,166240.0,0.236,0.000981,5.0,0.0977,-8.695,1.0,0.0282,136.769,4.0,0.31,77dNyQA0z8dV33M4so4eRY,2005-07-19
1708,3D97kRhZprR6RumFhDFIr4,Enjoy Yourself,The Essential Michael Jackson,Michael Jackson,0.101,0.618,201467.0,0.706,2.57e-05,9.0,0.394,-6.391,0.0,0.197,204.178,4.0,0.776,77dNyQA0z8dV33M4so4eRY,2005-07-19
1709,0ryUadrXsahO3mASlKUJlT,Blame It on the Boogie,The Essential Michael Jackson,Michael Jackson,0.0698,0.76,210533.0,0.76,0.0,8.0,0.105,-6.781,1.0,0.0893,113.338,4.0,0.868,77dNyQA0z8dV33M4so4eRY,2005-07-19
1710,6lSVidZXCnOnYAWcgIqVDF,Shake Your Body (Down to the Ground) - Single Edit,The Essential Michael Jackson,Michael Jackson,0.0307,0.774,224893.0,0.803,0.0,0.0,0.347,-4.959,1.0,0.0877,117.778,4.0,0.813,77dNyQA0z8dV33M4so4eRY,2005-07-19
