,artist,album,albumcount,year
6860,Al Hirt,The Happy Trumpet,6,1966
7027,Al Kooper,Kooper Session,5,1968
7066,Al Kooper,You Never Know Who Your Friends Are,6,1969
8264,Albert King,Jammed Together,5,1969
8291,Albert King,Years Gone By,4,1969
9147,Alice Cooper,Pretties For You,6,1969
11964,Andre Kostelanetz,New York Wonderland,7,1964
11994,Andre Previn,Andre Previn in Hollywood,4,1963
13240,Andy Williams,The Andy Williams Christmas Album,4,1963
13996,Anita Bryant,Mine Eyes Have Seen The Glory,4,1966
15403,Archie Bell & The Drells,There's Gonna Be A Showdown,3,1969
16553,Arthur Conley,"Shake, Rattle & Roll",2,1967
16563,Arthur Conley,Soul Directions,2,1968
19493,B.B. King,Lucille,3,1968
21285,Baja Marimba Band,Fresh Air,3,1969
21694,Barbara Lewis,"Baby, I'm Yours",7,1965
24545,Beau Brummels,The Beau Brummels,3,1965
27966,Big Mama Thornton,Stronger Than Dirt,2,1969
29624,Billie Holiday,The Complete Billie Holiday,1,1933
30127,Billy Joe Royal,Down In The Boondocks,7,1965
30916,Billy Strange,English Hits Of '65,3,1965
30928,Billy Strange,The James Bond Theme,5,1964
33494,Blodwyn Pig,Ahead Rings Out,5,1969
35115,Bob Dylan,Bob Dylan In Concert: Brandeis University 1963,1,1963
35481,Bob Dylan,The Best Of Bob Dylan,1,1965
35548,Bob Dylan,The Bootleg Series Vol. 9: The Witmark Demos: 1962-1964,5,1963
35633,Bob Dylan,The Real Royal Albert Hall 1966 Concert!,1,1966
35791,Bob Dylan And The Band,The Basement Tapes Raw: The Bootleg Series Vol. 11,3,1967
36391,Bob Newhart,The Windmills Are Weakening,5,1965
36704,Bobbie Gentry,Touch 'Em With Love,4,1969
36737,Bobby Bare,500 Miles Away From Home,5,1963
36860,Bobby Darin,Venice Blue,4,1965
37015,Bobby Pickett,The Original Monster Mash,4,1962
37044,Bobby Rydell,Forget Him,4,1964
37256,Bobby Vee,Bobby Vee Sings The New Sound From England!,2,1964
37268,Bobby Vee,Bobby Vee's Golden Greats,3,1962
37295,Bobby Vee,Just Today,7,1968
37324,Bobby Vinton,Bobby Vinton Sings For Lonely Nights,5,1965
38691,Booker T,Booker T. & Priscilla,6,1962
38725,Booker T. & The MG's,Doin' Our Thing,4,1968
39053,Boots Randolph,Boots Randolph Plays More Yakety Sax!,5,1965
39066,Boots Randolph,Boots Randolph With The Knightsbridge Strings & Voices,5,1967
41340,Brenton Wood,Oogum Boogum,2,1967
42803,Brook Benton,Do Your Own Thing,2,1969
48119,Cannibal And The Headhunters,Land Of 1000 Dances,4,1965
48209,Cannonball Adderley,74 Miles Away - Walk Tall,2,1967
48752,Carla Thomas,Carla,5,1966
48777,Carla Thomas,The Queen Alone,6,1969
49273,Carol Burnett,Carol Burnett Featuring If I Could Write A Song,2,1962
52454,Charley Pride,The Country Way,2,1967
53511,Cher,3614 Jackson Highway,3,1969
53548,Cher,Cher's Golden Greats,3,1968
53910,Chet Atkins,Class Guitar,2,1967
53923,Chet Atkins,From Nashville With Love,4,1966
53959,Chet Atkins,Solid Gold '69,7,1969
53970,Chet Atkins,Solo Flights,3,1968
53992,Chet Atkins,Teen Scene,6,1963
54771,Chico Hamilton,Man From Two Worlds,4,1964
57155,Chuck Berry,Chuck,2,1959
57217,Chuck Berry,St. Louis To Liverpool,7,1964
58018,Clarence Carter,Testifyin',3,1969
58050,Clarence Carter,The Dynamic Clarence Carter,4,1969
58062,Clarence Carter,This Is Clarence Carter,2,1968
58082,Classics IV,Spooky,7,1968
60921,Connie Smith,Connie Smith,5,1965
61154,Conway Twitty,I Love You More Today,3,1969
61590,Count Five,Psychotic Reaction,6,1966
62873,Crosby & Nash,Crosby*Nash,1,1969
65798,Damita Jo,If You Go Away,2,1967
65808,Damita Jo,This Is Damita Jo,4,1964
68032,Dave Brubeck,Dave Brubeck's Greatest Hits,4,1966
70846,David Houston,David,5,1966
71186,David Ruffin,Feelin' Good,7,1969
72106,Dean Martin,The Silencers,3,1966
73788,Della Reese,Della Reese Live,2,1963
78660,Dolly Parton,My Blue Ridge Mountain Boy,2,1969
79226,Don Rickles,Don Rickles Speaks!,4,1969
82164,Duane Eddy,Lonely Guitar,2,1964
82269,Duke,The Phantom,2,1968
82306,Duke Ellington,The Duke At Tanglewood,3,1965
82677,Dusty Springfield,The Look Of Love,7,1967
83068,Dyke And The Blazers,The Funky Broadway,4,1968
84685,Eddie Fisher,People Like You,3,1967
85015,Eddie Rambeau,Concrete And Clay,2,1965
85062,Eddy Arnold,Cattle Call,5,1963
85099,Eddy Arnold,Love & Guitars,3,1968
86198,Elephant's Memory,Elephant's Memory,2,1969
86420,Ella Fitzgerald,Brighten The Corner,2,1967
86453,Ella Fitzgerald,Ella Fitzgerald Sings The George And Ira Gershwin,5,1959
86504,Ella Fitzgerald,"Hello, Dolly!",2,1964
86577,Ella Fitzgerald & Louis Armstrong,Ella & Louis Christmas,1,1956
88117,Elvis Presley,Elvis Back In Memphis,3,1969
88185,Elvis Presley,Elvis Is Back!,1,1960
88260,Elvis Presley,Elvis Presley: The Searcher (Soundtrack),2,1958
92256,Ethel Ennis,This Is Ethel Ennis,2,1963
92268,Etta James,At Last!,5,1960
93440,Eydie Gorme,Gorme Country Style,3,1964
93480,Eydie Gorme,Together On Broadway,6,1963
94547,Fannie Flagg,Rally 'round The Flagg,3,1967
95162,Fats Domino,Fats Is Back,2,1968
95960,Firesign Theatre,How Can You Be In Two Places At Once When You're Not Anywhere At All,2,1969
96554,Flatt & Scruggs,Changin' Times Featuring Foggy Mountain Breakdown,4,1967
96598,Flatt & Scruggs,The Story Of Bonnie & Clyde,5,1968
97551,Floyd Cramer,Class Of '66,7,1966
97574,Floyd Cramer,"The Big Ones, Volume II",3,1966
98633,Four Jacks And A Jill,Master Jack,6,1968
98835,Four Tops,Soul Spin,6,1969
99502,Frank Sinatra,A Jolly Christmas From Frank Sinatra,2,1957
99561,Frank Sinatra,"America, I Hear You Singing",7,1964
