,artist,album,albumcount,year
100183,Frank Zappa,Hot Rats,6,1969
101111,Free,Tons Of Sobs,2,1968
101687,Fugs,The Fugs First Album,4,1965
102488,Gabor Szabo,Bacchanal,3,1968
102496,Gabor Szabo,Gabor Szabo 1969,7,1969
102507,Gabor Szabo,Spellbinder,4,1966
102516,Gabor Szabo,The Sorcerer,2,1967
103525,Gary Lewis And The Playboys,New Directions,4,1967
104094,Gene Autry,Rudolph The Red Nosed Reindeer And Other Christmas Classics,7,1947
104399,Genesis,From Genesis To Revelation,4,1969
104789,George Benson,Tell It Like It Is,3,1969
105248,George Harrison,Electronic Sound,2,1969
105527,George Jones,I'll Share My World With You,5,1969
106551,Georgie Fame,The Ballad Of Bonnie And Clyde,4,1968
110169,Gordon Lightfoot,Sunday Concert,6,1969
115698,Harpers Bizarre,Feelin' Groovy,7,1967
115770,Harry Belafonte,Belafonte On Campus,3,1967
115781,Harry Belafonte,Calypso In Brass,2,1966
115792,Harry Belafonte,Homeward Bound,3,1969
117639,Henry Mancini,Arabesque,4,1966
117700,Henry Mancini,Hatari!,4,1962
117834,Henry Mancini,Two For The Road,3,1967
118113,Herbie Hancock,Blow-Up,2,1967
118250,Herbie Mann,Herbie Mann & Fire Island,7,1969
118435,Herman's Hermits,"Mrs. Brown, You've Got A Lovely Daughter",3,1968
118462,Herschel Bernardi,Fiddler On The Roof,5,1966
119963,Horst Jankowski,So What's New?,2,1966
120784,Hugh Masekela,I Am Not Afraid,4,1964
120825,"Hugo Montenegro, His Orchestra And Chorus",Hang 'Em High,5,1968
120837,"Hugo Montenegro, His Orchestra And Chorus",Moog Power,4,1969
123234,Incredible String Band,The Big Huge,3,1968
123253,Incredible String Band,Wee Tam,3,1968
126543,Jack Jones,If You Ever Leave Me,3,1968
126594,Jack Jones,Where Is Love?,3,1968
126892,Jackie Gleason,Silk 'N' Brass,4,1965
126952,Jackie Wilson,Higher And Higher,4,1967
128233,James Brown,Handful Of Soul,3,1966
129523,Jan & Dean,Folk 'N Roll,3,1966
129664,Jane Morgan,Fresh Flavor,4,1966
131058,Jay & The Americans,Come A Little Bit Closer,4,1964
131104,Jay & The Americans,Sunday And Me,4,1966
131492,Jeannie C. Riley,Things Go Better With Love,7,1969
131504,Jeannie C. Riley,Yearbooks And Yesterdays,5,1969
132221,Jefferson Airplane,Jefferson Airplane,7,1967
133780,Jerry Lee Lewis,Memphis Beat,3,1966
133792,Jerry Lee Lewis,Original Golden Hits - Volume 1,4,1969
133803,Jerry Lee Lewis,Original Golden Hits - Volume 2,5,1969
133814,Jerry Lee Lewis,Rock & Roll Time,1,1964
133835,Jerry Lee Lewis,She Still Comes Around (To Love What's Left Of Me),7,1969
133886,Jerry Lee Lewis,The Return Of Rock,5,1965
133991,Jerry Vale,Great Moments On Broadway,4,1966
134135,Jerry Vale,Time Alone Will Tell,6,1967
134145,Jerry Vale,Where's The Playground Susie?,4,1969
134156,Jerry Vale,"With Love, Jerry Vale",2,1968
134167,Jerry Vale,You Don't Have To Say You Love Me,7,1967
134179,Jerry Wallace,In The Misty Moonlight,7,1964
135969,Jim Nabors,The Things I Love,6,1967
135993,Jim Reeves,Blue Side Of Lonesome,5,1967
137208,Jimmy Smith,The Boss,3,1968
139622,Joe Tex,The Best Of Joe Tex,4,1969
140152,John Coltrane,Expression,3,1967
140408,John Denver,Rhymes & Reasons,3,1969
141095,John Klemmer,Blowin' Gold,5,1969
141918,John McLaughlin,Extrapolation,6,1969
142664,John Stewart,California Bloodlines,3,1969
143154,Johnny Cash,Best Of Johnny Cash,1,1963
143200,Johnny Cash,Get Rhythm,6,1969
143242,Johnny Cash,Johnny Cash At Madison Square Garden,3,1969
143449,Johnny Cash,Story Songs Of The Trains And Rivers,2,1969
143658,Johnny Cash & June Carter,Carryin' On With Johnny Cash & June Carter,3,1967
144094,Johnny Mathis,People,2,1969
144215,Johnny Mathis,The Global Masters,1,1964
144252,Johnny Mathis,The Impossible Dream,4,1969
144523,Johnny Sea,Day For Decision,2,1966
144703,Johnny Winter,White Hot & Blue,4,1969
146932,Jr. Walker & The All Stars,Soul Session,7,1966
147732,Judy Garland,Judy Garland's Greatest Hits,3,1964
151282,Kate Smith,Kate Smith Today,2,1966
151294,Kate Smith,The Kate Smith Anniversary Album,3,1966
151302,Kate Smith,The Sweetest Sounds,2,1964
152107,Keith,98.6/Ain't Gonna Lie,5,1967
152181,Keith Barbour,Echo Park,4,1969
153273,Kenny Burrell,Blues-The Common Ground,2,1968
156269,Kim Fowley,Outrageous,3,1968
156588,King Curtis,Instant Groove,3,1969
156633,King Curtis,Sweet Soul,2,1968
160971,Lana Cantrell,Lana!,2,1968
161178,Larry Coryell,Lady Coryell,3,1968
161554,Laura Nyro,Eli And The Thirteenth Confession,7,1968
163929,Leonard Cohen,Leonard Cohen: Live Songs,5,1967
164084,Leontyne Price,Giacomo Puccini: Tosca,6,1963
164263,Les Paul,Les Paul & Friends: American Made World Played,2,1952
164275,Lesley Gore,"Boys, Boys, Boys",6,1964
164288,Lesley Gore,Girl Talk,2,1964
164324,Lesley Gore,"My Town, My Guy & Me",4,1965
167681,Little Anthony And The Imperials,I'm On The Outside (Looking In),4,1964
168176,Little Richard,Little Richard's Greatest Hits,3,1967
169947,Loretta Lynn,Your Squaw Is On The Warpath,5,1969
170041,Los Bravos,Black Is Black,7,1966
171090,Lou Christie,Lou Christie,6,1963
171114,Lou Donaldson,Hot Dog,6,1969
171131,Lou Donaldson,Say It Loud!,7,1969
171583,Louis Armstrong & Friends,What A Wonderful Christmas,1,1968
171674,Love,Out Here,5,1969
177436,Manfred Mann,The Five Faces Of Manfred Mann,4,1964
177834,Mantovani,Kismet,3,1963
180322,Martha & The Vandellas,Heat Wave,5,1963
180663,Marty Robbins,I Walk Alone,7,1968
180674,Marty Robbins,It's A Sin,4,1969
180774,Marvin Gaye,Easy,2,1969
181845,Mary Wells,Mary Wells,4,1964
188818,Mike Bloomfield,It's Not Killing Me,5,1969
189309,Miles Davis,In A Silent Way,6,1969
189456,Miles Davis Quintet,LIVE In Europe 1967: The Bootleg Series Vol. 1,1,1967
190556,Miriam Makeba,The Voice Of Africa,4,1964
191740,Mongo Santamaria,Hey! Let's Party,5,1966
191793,Mongo Santamaria,Workin' On A Groovy Thing,2,1969
195775,Nancy Sinatra,Nancy In London,7,1966
195825,Nancy Wilson,But Beautiful,5,1969
196526,Nat King Cole,The Great Songs!,3,1966
201481,Nina Simone,Pastel Blues,7,1965
201490,Nina Simone,Silk & Soul,4,1967
204286,Ohio Express,"Chewy, Chewy",2,1968
206555,Original Cast,1776,6,1969
206647,Original Cast,Annie Get Your Gun,7,1946
206664,Original Cast,Bajour,2,1964
206739,Original Cast,Canterbury Tales,4,1969
206797,Original Cast,Dames At Sea,2,1969
206923,Original Cast,George M!,6,1968
207068,Original Cast,Maggie Flynn,2,1969
207437,Original Cast,Zorba,7,1968
207645,"Oscar Toney, Jr.",For Your Precious Love,5,1967
208003,Otis Redding,The Great Otis Redding Sings Soul Ballads,3,1965
211837,Patti Page,Gentle On My Mind,6,1968
211859,Patti Page,Say Wonderful Things,6,1963
215019,Pentangle,Basket Of Light,2,1969
215039,Pentangle,The Pentangle,3,1968
215232,Percy Faith,Broadway Bouquet,5,1965
215322,Percy Faith,More Themes For Young Lovers,7,1964
215346,Percy Faith,The Academy Award Winner And Other Great Movie Themes,5,1967
215402,Percy Faith,Windmills Of Your Mind,4,1969
215413,Percy Sledge,Take Time To Know Her,6,1968
215437,Percy Sledge,The Percy Sledge Way,3,1967
215448,Percy Sledge,Warm & Tender Soul,3,1966
217032,Peter Nero,Sunday In New York,4,1963
217488,Pharoah Sanders,Karma,4,1969
217816,Phil Ochs,Pleasures Of The Harbor,5,1967
217824,Phil Ochs,Rehearsals For Retirement,7,1969
219229,Pink Floyd,More (Soundtrack),7,1969
221196,Porter Wagoner,"Always, Always",5,1969
221208,Porter Wagoner,Just The Two Of Us,4,1968
221244,Porter Wagoner,The Cold Hard Facts Of Life,1,1967
227296,Ramsey Lewis,The Movie Album,4,1966
228967,Ray Conniff,En Espanol!,2,1967
228979,Ray Conniff,Friendly Persuasion,5,1964
232768,Richie Havens,Mixed Bag,4,1967
235288,Robert Goulet,"Robert Goulet On Broadway, Volume 2",3,1966
236372,Rod McKuen,Listen To The Warm,6,1967
238973,Roy Orbison,The Orbison Way,3,1965
239059,Royal Bliss,Life In-Between,1,1900
241942,Sam Cooke,Portrait Of A Legend: 1951-1964,1,1960
242358,Sammy Davis Jr.,Sammy Davis Jr. Salutes The Stars Of The London Palladium,3,1964
242370,Sammy Davis Jr.,Sammy's Back On Broadway,4,1965
244272,Savoy Brown,Blue Matter,2,1969
245248,Scott McKenzie,The Voice Of Scott McKenzie,7,1967
246692,Sergio Franchi,Live At The Cocoanut Grove,4,1965
246705,Sergio Franchi,Romantic Italian Songs,1,1962
246717,Sergio Franchi,The Dream Duet,7,1963
247271,Sha Na Na,Rock & Roll Is Here To Stay!,7,1969
250275,Silver,Silver Apples,3,1968
253341,Sly & The Family Stone,Dance To The Music,7,1968
255451,Sonny James,The Best Of Sonny James,4,1966
255510,Sons Of Champlin,The Sons,6,1969
259818,Soundtrack,Hurry Sundown,2,1967
263800,Soundtrack,The Lion In Winter,7,1968
264368,Soundtrack,The Wild Bunch,2,1969
265585,Spanky And Our Gang,Anything You Choose/Without Rhyme Or Reason,7,1969
267023,Stan Getz,Sweet Rain,2,1967
267076,Stanley Black,Music Of A People,3,1965
267201,Stanley Turrentine,The Look Of Love,3,1968
269096,Steve Lawrence,Academy Award Losers,5,1963
269116,Steve Lawrence,The Steve Lawrence Show,2,1965
273578,Sweetwater,Sweetwater,2,1968
274146,Syndicate Of Sound,Little Girl,2,1966
275767,Tammi Terrell,Marvin Gaye & Tammi Terrell Greatest Hits,3,1967
280695,The Arbors,A Symphony For Susan,2,1966
280734,The Archies,Sunshine,6,1969
280876,The Astronauts,Competition Coupe,5,1964
281671,The Beach Boys,Friends & Smiley Smile,6,1968
281827,The Beach Boys,SMiLE,2,1967
281992,The Beach Boys,The Beach Boys' Christmas Album,1,1964
282547,The Beatles,Please Please Me,1,1963
282718,The Beatles,With The Beatles,1,1963
282803,The Beau Brummels,Triangle,2,1967
284165,The Brothers Four,More Big Folk Hits,4,1964
284178,The Brothers Four,The Honey Wind Blows,5,1963
284274,The Buckinghams,In One Ear And Gone Tomorrow,5,1968
284425,The Byrds,Dr. Byrds & Mr. Hyde,7,1969
284888,The Casinos,Then You Can Tell Me Goodbye,4,1967
285161,"The Checkmates, Ltd.",Love Is All We Have To Give,4,1969
287873,The Delfonics,La La Means I Love You,6,1968
287884,The Delfonics,Sound Of Sexy Soul,6,1969
288337,The Dixie Cups,Chapel Of Love,5,1964
289033,The Easybeats,Friday On My Mind,5,1967
289224,The Everly Brothers,Beat & Soul,3,1965
289561,The Five Stairsteps,Our Family Portrait,3,1968
289824,The Flying Machine,The Flying Machine,7,1969
290037,The Friends Of Distinction,Friends & People,7,1969
290050,The Friends Of Distinction,Highly Distinct,6,1969
291013,The Harden Trio,Tippy Toeing,5,1966
292107,The Isley Brothers,This Old Heart Of Mine,5,1966
293646,The Kingston Trio,Once Upon A Time,6,1969
293839,The Kinks,Face To Face,3,1966
294569,The Limeliters,More Of Everything!,5,1964
294752,The Lovin' Spoonful,Best...lovin' Spoonful,3,1965
294800,The Lovin' Spoonful,Everything Playing,7,1967
294845,The Lovin' Spoonful,You're A Big Boy Now,5,1967
296166,The Miracles,Doin' Mickey's Monkey,4,1963
296285,The Miracles,The Miracles On Stage,5,1963
297107,The Mystic Moods,Mexican Trip,3,1967
298825,The Palm Beach Band Boys,Winchester Cathedral,1,1966
301062,The Rivieras,Let's Have A Party,5,1964
302220,The Sandpipers,Misty Roses,5,1967
302230,The Sandpipers,Softly,5,1968
302329,The Searchers,The Searchers,2,1964
303974,The Strangeloves,I Want Candy,2,1965
304861,The Surfaris,Hit City 64,5,1964
304884,The Sweet Inspirations,The Sweet Inspirations,6,1967
306609,The Velvet Underground,White Light/White Heat,2,1968
306693,The Ventures,Flights Of Fantasy,6,1968
307006,The Village Stompers,More Sounds of Washington Square,3,1964
307068,The Viscounts,Harlem Nocturne,2,1965
307213,The Wailers,Tall Cool One,6,1964
308926,Thelonious Monk,Criss-Cross,3,1963
308940,Them,Them Again,6,1966
311149,Tim Buckley,Blue Afternoon,2,1969
311157,Tim Buckley,Goodbye And Hello,5,1967
313146,Tom Jones,What's New Pussycat?,5,1966
313257,Tom Paxton,The Things I Notice Now,4,1969
313636,Tom Rush,Take A Little Walk With Me,7,1966
313647,Tom Rush,The Best Of Tom Rush,3,1962
314088,Tommy Boyce & Bobby Hart,I Wonder What She's Doing Tonite?,5,1968
314099,Tommy Boyce & Bobby Hart,Test Patterns,1,1967
314327,Tommy Roe,It's Now Winters Day,3,1967
314671,Tony Bennett,For Once In My Life,7,1967
314731,Tony Bennett,I've Gotta Be Me,5,1969
314938,Tony Bennett,Tony Makes It Happen!,6,1967
315094,Tony Joe White,...Continued,3,1969
318937,Trini Lopez,Trini Lopez In London,6,1967
320943,Tyrone Davis,Can I Change My Mind,6,1969
321763,Ultimate,Behold & See,2,1968
323461,Van Morrison,Astral Weeks: Live At The Hollywood Bowl,6,1968
323492,Van Morrison,Blowin' Your Mind!,7,1967
324867,Various Artists,A Christmas Gift For You From Phil Spector,4,1963
330827,Various Artists,Northern Songs: Canadas Best & Brightest,4,1956
333414,Various Artists,Superstar Christmas,7,1967
337425,Vikki Carr,Discovery!,4,1964
338048,Vladimir Horowitz,Horowitz On Television,4,1968
338794,Walter Jackson,Speak Her Name,5,1967
339904,Waylon Jennings & The Kimberlys,Country-Folk,4,1966
340162,We Five,Make Someone Happy,6,1967
342502,Willie Nelson,My Own Way,5,1969
343117,Wilson Pickett,In The Midnight Hour,6,1965
347476,Yusef Lateef,Yusef Lateef's Detroit,5,1969
