,artist,album,albumcount,year
159163,Kurtis Blow,Kingdom Blow,2,1986
159531,L.A. Dream Team,Bad To The Bone,4,1987
159540,L.A. Dream Team,Kings Of West Coast,7,1986
161202,Larry Gatlin & The Gatlin Brothers,Not Guilty,2,1981
161584,Laura Nyro,Mother's Spiritual,3,1984
161805,Laurie Anderson,United States Live,5,1984
163802,Leon Russell And The New Grass Revival,The Live Album,2,1981
164570,Level 42,Staring At The Sun,7,1988
166406,Linda Clifford,I'm Yours,6,1980
168022,Little Milton,Grits Ain't Groceries,7,1984
168734,Lizzy Borden,Terror Rising,6,1987
168742,Lizzy Borden,Visual Lies,7,1987
170362,Los Lobos,La Pistola Y El Corazon,4,1988
171209,Lou Rawls,Shades Of Blue,6,1980
171296,Lou Reed,Growing Up In Public,5,1980
171307,Lou Reed,Legendary Hearts,7,1983
171421,Lou Reed,The Blue Mask,4,1982
171485,Loudness,Hurricane Eyes,4,1987
171858,Loverboy,Big Ones,1,1989
172868,Luis Miguel,Luis Miguel,3,1988
174562,M.C. Shy-D,Got To Be Tough,1,1987
175931,Madame X,Madame X,5,1982
176824,Malcolm McLaren,Fans,6,1984
176854,Malice,License To Kill,6,1987
178982,Marianne Faithfull,A Child's Adventure,7,1983
179171,Marillion,Script For A Jester's Tear,7,1983
179710,Mark Knopfler (Original Soundtrack),The Princess Bride,1,1987
180461,Martin L. Gore,Counterfeit E.P.,5,1989
182008,Mass Production,Turn Up The Music,6,1981
183428,Maynard Ferguson,Hollywood,4,1982
183632,McFadden And Whitehead,I Heard It In A Love Song,6,1980
183665,"McGuinn, Clark & Hillman",City,7,1980
184952,Melissa Manchester,Mathematics,6,1985
185725,Merle Haggard,The Essential Merle Haggard: The Epic Years,2,1981
186924,Michael Crawford,Songs From The Stage,2,1987
187118,Michael Henderson,Fickle,4,1983
187431,Michael Jackson,The Best Of Michael Jackson: 20th Century Masters The Millenium Collection,5,1986
187880,Michael Stanley Band,MSB,6,1982
188323,Mick Jones,Mick Jones,3,1989
188552,Midnight Oil,Red Sails In The Sunset,6,1984
189034,Mike Oldfield,Five Miles Out,5,1982
189208,Miki Howard,Come Share My Love,6,1986
189244,Miles Davis,Amandla,5,1989
189280,Miles Davis,Directions,2,1981
189376,Miles Davis,Star People,7,1983
189404,Miles Davis,We Want Miles,7,1982
190088,Ministry,Twitch,3,1986
190172,Minor Detail,Minor Detail,2,1983
191364,Modern English,Stop Start,7,1986
191449,Moe Bandy & Joe Stampley,"Hey Joe, Hey Moe",4,1981
191509,Mojo Nixon & Skid Roper,Root Hog Or Die,7,1985
193169,Motorhead,Another Perfect Day,7,1983
193211,Motorhead,Iron Fist,6,1982
193344,Mountain,Go For Your Life,6,1985
193587,Mr. Mister,I Wear The Face,7,1984
193666,Mtume,In Search Of The Rainbow Seekers,4,1980
193756,Muddy Waters,King Bee,2,1981
195455,NRBQ,Wild Weekend,3,1989
195705,Nancy Martinez,Not Just The Girl Next Door,3,1986
196187,Narada,Confidence,6,1982
196711,Natalie Cole,Happy Love,4,1981
196741,Natalie Cole,I'm Ready,3,1983
197786,Neil Diamond,Classics The Early Years,7,1983
199472,New England,Walking Wild,4,1981
200365,Nick Heyward,North Of A Miracle,4,1983
200521,Nick Mason,Nick Mason's Fictitious Sports,3,1981
200529,Nick Mason & Rick Fenn,Profiles,5,1985
201236,Nils Lofgren,Flip,5,1985
202168,Nitty Gritty Dirt Band,The Dirt Band,6,1989
202592,Nona Hendryx,The Art Of Defense,7,1984
202912,Norman Connors,Mr. C.,2,1981
203128,Novo Combo,Novo Combo,6,1981
203171,Nuclear Valdez,I Am I,5,1989
204070,Odyssey,Hang Together,4,1980
204093,Odyssey,I Got The Melody,5,1981
204214,Ofra Haza,Desert Wind,5,1989
204537,Oingo Boingo,Good For Your Soul,7,1983
204559,Oingo Boingo,Only A Lad,5,1981
205535,Orchestral Manoeuvres In The Dark,Dazzle Ships,6,1983
205547,Orchestral Manoeuvres In The Dark,Junk Culture,6,1984
206332,Original Broadway Cast Recording,The Mystery Of Edwin Drood,6,1986
207420,Original Cast,Woman Of The Year,2,1981
208513,Overkill,Taking Over,1,1987
210499,Parliament,Trombipulation,7,1980
210560,Partland Brothers,Electric Honey,5,1986
210727,Passport,Blue Tattoo,3,1981
211605,Patti Austin,Gettin' Away With Murder,4,1985
211793,Patti LaBelle,The Spirits In It,4,1981
212538,Paul Dean,Hard Core,2,1989
212666,Paul McCartney,Choba B CCCP,3,1988
214340,Peabo Bryson,Positive,6,1988
216207,Pete Townshend,Another Scoop,1,1987
216677,Peter Frampton,When All The Pieces Fit,6,1989
216871,Peter Gabriel,So: (25th Anniversary Deluxe Edition),1,1986
216898,Peter Green,Little Dreamer,5,1980
217246,"Peter, Paul & Mary",No Easy Walk To Freedom,5,1987
218002,Philip Glass,Glassworks,6,1982
220178,Player,Spies Of Life,7,1982
220216,Pleasure,Give It Up,6,1982
221487,Prefab Sprout,Two Wheels Good,5,1985
223198,Prophet,Cycle Of The Moon,7,1988
223575,Public Image Ltd.,The Flowers Of Romance,4,1981
224027,Quarterflash,Back Into Blue,5,1985
224800,Queensryche,Operation: Mindcrime II,5,1988
226383,Rachel Sweet,And Then He Kissed Me,7,1981
227321,Ramsey Lewis,Three Piece Suite,5,1981
227502,Randy Crawford,Abstract Emotions,4,1986
227512,Randy Crawford,Nightline,5,1983
227522,Randy Crawford,Now We May Begin,7,1980
227828,Randy Travis,An Old Time Christmas,7,1989
227974,Randy Travis,Randy Travis,6,1987
228091,Ranking Roger,Radical Departure,7,1988
229315,Ray Lynch,No Blue Thing,2,1989
230361,Red Flag,Naive Art,4,1989
231393,Renaissance,Camera Camera,4,1981
231707,Revenge,One True Passion,2,1989
232652,Richard Thompson,Amnesia,5,1988
232695,Richard Thompson,Hand Of Kindness,5,1983
234179,Riot,Born In America,6,1984
234331,Rita Coolidge,Heartbreak Radio,4,1981
234887,Robbie Dupree,Street Corner Heroes,5,1981
235477,Robert Palmer,Maybe It's Live,5,1982
236020,Robin Trower,Back It Up,2,1983
236133,Robin Williams,A Night At The Met,1,1986
237089,Rodney Crowell,Keys To The Highway,2,1989
237121,Rodney Crowell,Street Language,5,1986
237145,Rodney Franklin,Learning To Love,3,1982
237153,Rodney Franklin,Marathon,3,1984
237168,Rodney O & Joe Cooley,Me And Joe,2,1989
237398,Roger Hodgson,Hai Hai,6,1987
237718,Roman Holliday,Cookin' On The Roof,6,1983
238135,Ronnie Milsap,One More Try For Love,3,1984
238193,Ronnie Wood,1234,5,1981
238549,Rose Royce,Golden Touch,7,1980
238810,Roy Buchanan,My Babe,2,1980
239279,Ruben Blades,Nothing But The Truth,6,1988
240225,Russ Ballard,Barnet Dogs,2,1980
240242,Russ Ballard,The Fire Still Burns,4,1985
242116,Sam Kinison,Louder Than Hell,5,1986
242451,Sammy Hagar,Sammy Hagar & Friends,2,1981
243156,Santana,Viva Santana,6,1988
243925,Sarah McLachlan,The Freedom Sessions,5,1989
244094,Savatage,Fight For The Rock,7,1986
244433,Saxon,Crusader,5,1984
244980,Schoolly D,Smoke Some Kill,3,1988
245073,Scorpions,Best Of Scorpions Vol. 2,4,1984
245207,Scorpions,The Best Of Scorpions: 20th Century Masters The Millennium Collection,1,1989
245238,Scott Baio,Scott Baio,4,1982
245434,Sea Hags,Sea Hags,7,1989
247383,Shadowfax,Folksongs For A Nuclear Village,5,1988
249349,Shinehead,Unity,4,1988
249598,Shooting Star,Burning,6,1980
249705,Shriekback,Big Night Music,6,1986
250055,Sidewinders,Witchdoctor,5,1989
251210,Siouxsie & The Banshees,Hyaena,7,1984
251252,Siouxsie & The Banshees,Through The Looking Glass,3,1987
251524,Sister Sledge,Bet Cha Say That To All The Girls,7,1983
252181,Skyy,Skyylight,3,1983
252197,Skyy,Start Of A Romance,5,1989
252421,Slave,Bad Enuff,5,1983
252471,Slave,Visions Of The Lite,6,1982
258146,Soundtrack,Eddie,4,1983
259212,Soundtrack,Halloween II,1,1981
261881,Soundtrack,Rhinestone,6,1984
262059,Soundtrack,Round Midnight,3,1986
262417,Soundtrack,So I Married An Axe Murderer,7,1988
262980,Soundtrack,Superman Iii,3,1983
264688,Soundtrack,Transformers: Age Of Extinction -- The EP,1,1986
265259,Soundtrack,Wonder Woman,2,1984
265508,Southside Johnny & The Asbury Jukes,Trash It Up,6,1983
265518,Southside Johnny & The Jukes,At Least We Got Shoes,4,1986
265646,Sparks,Angst In My Pants,6,1982
265710,Sparks,Whomp That Sucker,2,1981
265878,Spider,Between The Lines,2,1981
266415,Spyro Gyra,Point Of View,6,1989
267191,Stanley Turrentine,Tender Togetherness,3,1981
267274,Stargard,Back 2 Back,2,1981
267661,Steady B,Let The Hustlers Play,1,1988
267672,Steady B,What's My Name,7,1987
267830,Steel Pulse,State Of Emergency,7,1988
267892,Steely Dan,A Decade Of Steely Dan,1,1985
268632,Steve Arrington,Dancin' In The Key Of Life,5,1985
268956,Steve Hackett,Cured,3,1981
268967,Steve Hackett,Defector,6,1980
269203,Steve Martin,The Steve Martin Brothers,4,1981
269254,Steve Morse,High Tension Wires,3,1989
269413,Steve Walsh,Schemer Dreamer,6,1980
269515,Steve Winwood,Winwood: Greatest Hits Live,1,1986
269746,Stevie Nicks,Bella Donna (Deluxe Edition),1,1981
269925,Stevie Ray Vaughan And Double Trouble,Live At Montreux 1982 & 1985,1,1984
271160,Stray Cats,Therapy,5,1986
272336,Suicidal Tendencies,Controlled By Hatred/Feel Like Shit...Deja Vu,5,1989
273047,Survivor,Too Hot To Sleep,2,1988
273336,Suzi Quatro,Rock Hard,5,1980
273648,Swingle Singers,Anyone For Mozart?,6,1986
274032,Sylvester,Mutual Attraction,5,1986
274290,T Bone Burnett,Proof Through The Night,5,1983
274909,TSOL,Hit And Run,2,1987
275355,Talk Show,Talk Show,3,1984
275920,Tangerine Dream,Exit,2,1985
276488,Tavares,Supercharged,7,1980
277377,Ted Nugent,If You Can't Lick 'Em,7,1988
278562,Terri Lyne Carrington,Real Life Story,7,1989
279558,The A's,A Woman's Got The Power,7,1981
281700,The Beach Boys,Keepin' The Summer Alive,6,1980
282064,The Bears,Rise & Shine,5,1988
282091,The Beat Farmers,Tales Of The New West,3,1985
282512,The Beatles,Past Masters,2,1988
284371,The Bus Boys,American Worker,7,1982
286701,The Creatures,Boomerang,2,1989
287240,The Cure,The Top,4,1984
287630,The Dead Milkmen,Bucky Fellini,7,1987
288143,The Dickey Betts Band,Pattern Disruptive,4,1988
288225,The Dillman Band,Lovin' The Night Away,7,1981
288869,The Dream Academy,Remembrance Days,3,1987
289122,The Emotions,New Affair,4,1981
289337,The Fabulous Thunderbirds,Butt Rockin',7,1981
289361,The Fabulous Thunderbirds,Powerful Stuff,7,1988
289614,The Fixx,React,7,1987
290366,The Gap Band,Round Trip,7,1989
291497,The Housemartins,The People Who Grinned Themselves To Death,6,1987
291581,The Human League,Love And Dancing,7,1981
292816,The Jesus And Mary Chain,Darklands,4,1987
292876,The Jesus And Mary Chain,Psychocandy,4,1985
293783,The Kinks,Come Dancing With The Kinks,4,1986
294120,The Klowns,The Klowns,2,1988
294149,The Knack,Round Trip,6,1981
294731,The Lords Of The New Church,The Method To Our Madness,7,1984
294961,The Mad Lads,"The Mad, Mad, Mad, Mad, Mad Lads",2,1984
295555,The Manhattans,Too Hot To Stop It,6,1985
295689,The Marshall Tucker Band,Tuckerized,7,1982
297375,The Neville Brothers,Fiyo On The Bayou,3,1981
298243,The O'Jays,When Will I See You Again,5,1983
298364,The Oak Ridge Boys,Step On Out,5,1985
299228,The Plimsouls,The Plimsouls,4,1983
299379,The Pointer Sisters,Pointer Sisters' Greatest Hits,3,1989
299402,The Pointer Sisters,Serious Slammin',6,1988
299453,The Pointer Sisters,The Best Of The Pointer Sisters,6,1989
299876,The Psychedelic Furs,Book Of Days,4,1989
300014,The Ramones,Animal Boy,6,1986
300026,The Ramones,Brain Drain,6,1989
300057,The Ramones,Halfway To Sanity,3,1987
300152,The Ramones,Ramones Mania,5,1988
300311,The Ramones,Too Tough To Die,6,1984
300840,The Replacements,Tim,7,1985
301147,The Roches,Nurds,7,1980
301749,The Romantics,National Breakout,7,1980
301770,The Romantics,Strictly Personal,2,1981
301985,The Rossington Band,Love Your Man,4,1988
302080,The S.O.S. Band,Diamonds In The Raw,2,1989
302426,The Seekers,The Seekers,3,1989
303446,The Specials,More Specials,5,1980
303530,The Spinners,Can't Shake This Feeling,4,1981
303553,The Spinners,Grand Slam,6,1982
303570,The Spinners,Labor Of Love,6,1981
303727,The Statler Brothers,10th Anniversary,5,1980
303994,The Stranglers,Dreamtime,4,1986
304207,The Style Council,Introducing The Style Council,5,1983
305077,The System,X-Periment,5,1984
305112,The Teardrop Explodes,Kilimanjaro,6,1980
305129,The Teardrop Explodes,Wilder,4,1981
305912,The Tragically Hip,Up To Here,6,1989
306120,The Tubes,T.R.A.S.H. (Tubes Rarities And Smash Hits),6,1981
308908,Thelma Houston,Never Gonna Be Another One,6,1981
309576,Thin Lizzy,Thunder And Lightning,5,1983
310079,Thompson Twins,Big Trash,6,1989
310121,Thompson Twins,Thompson Twins Greatest Mixes,6,1988
311195,Tim Finn,Escapade,5,1983
312965,Tom Jones,Darlin',3,1981
313752,Tom Verlaine,Dreamtime,3,1981
313793,Tom Waits,Big Time,6,1988
313957,Tom Waits,Rain Dogs,7,1985
316031,Toronto,Lookin' For Trouble,4,1980
319846,Twennynine Featuring Lenny White,Just Like Dreamin,5,1981
321449,UFO,Making Contact,4,1983
321813,Ultravox,Rage In Eden,6,1981
322308,Unlimited Touch,Unlimited Touch,7,1980
323135,Van Cliburn,Tchaikovsky: Piano Concerto No. 1,1,1987
324007,Vandenberg,Heading For A Storm,7,1983
325238,Various Artists,All-Star Christmas,3,1983
327457,Various Artists,"GRP Christmas Collection, Volume 2",4,1988
329578,Various Artists,Motown 25,3,1984
334295,Various Artists,The Classic Chillout Album: A Collection Of Classics For A Modern World,1,1983
337829,Vinnie Moore,Time Odyssey,7,1988
337909,Violent Femmes,Violent Femmes,7,1983
337971,Visage,Visage,4,1980
337994,Vitamin Z,Rites Of Passage,3,1985
338735,Wall Of Voodoo,Dark Continent,2,1981
338772,Walter Egan,Wild Exhibitions,2,1983
338866,Wang Chung,The Warmer Side Of Cool,6,1989
338930,War,Life Is So Strange,4,1983
339426,Warren Zevon,Warren Zevon,2,1986
340021,Wayne Toups,Blast From The Bayou,4,1989
340048,Waysted,Save Your Prayers,2,1986
340251,Weather Report,Sportin' Life,3,1985
340703,Wet Wet Wet,Popped In Souled Out,7,1987
341124,Whitesnake,Come An' Get It,6,1981
342311,Willie Nelson,Angel Eyes,7,1984
342396,Willie Nelson,Half Nelson,3,1982
342460,Willie Nelson,Me & Paul,7,1985
343028,Willie Nile,Willie Nile,6,1980
343986,Woodentops,Giant,6,1986
344620,Wynton Marsalis,J Mood,4,1986
344695,X,Live At The Whisky 'A Go-Go,5,1988
344757,X,Wild Gift,5,1981
344924,XTC,The Big Express,5,1984
345867,Yello,You Gotta Say Yes To Another Excess,4,1983
346018,Yellowjackets,Samurai Samba,4,1985
346067,Yes,Classic Yes,5,1981
346484,Yo-Yo Ma,Classic Yo-Yo,4,1984
348793,a-ha,Stay On These Roads,6,1988
