,artist,album,albumcount,year
124,"""Weird Al"" Yankovic",Polka Party,4,1986
584,10cc,Look Hear,2,1980
2336,707,The Second Album,6,1981
5117,Adam Ant,Vive Le Rock,7,1985
7410,Alabama,Livin' Lovin' Rockin' Rollin': The 25th Anniversary Collection,1,1980
8371,Aldo Nova,Subject: Aldo Nova,7,1983
8777,Alexander O'Neal,All Mixed Up,5,1989
8824,Alexander O'Neal,My Gift To You,5,1988
9179,Alice Cooper,Special Forces,5,1981
10369,Alphaville,Afternoons In Utopia,6,1986
10814,Ambrosia,Road Island,7,1982
10865,America,Alibi,6,1980
10969,America,Perspective,3,1984
11951,Andre Cymone,Survivin' In The 80's,4,1983
13042,Andy Williams,16 Most Requested Songs: Encore,1,1986
13324,Angel,Live Without A Net,4,1980
15015,Anvil,Strength Of Steel,2,1987
15564,Aretha Franklin,30 Greatest Hits,6,1985
16154,Arlo Guthrie,Power Of Love,3,1981
16862,Ashanti,Ashanti: The 7 Series (EP),6,1982
17025,Ashford & Simpson,Performance,6,1981
17409,Atlanta,Pictures,7,1984
17476,Atlantic Starr,We're Movin' Up,6,1989
18047,Audio Two,What More Can I Say?,4,1988
19043,Axe,Nemesis,6,1983
19162,Aztec Camera,Knife,6,1984
19358,B.B. King,Blues 'n Jazz,3,1983
19483,B.B. King,Love Me Tender,5,1982
19510,B.B. King,Now Appearing At Ole' Miss,4,1980
21709,Barbara Mandrell,Love Is Fair,6,1980
26971,Bette Midler,Mud Will Be Flung Tonight,6,1985
29123,Bill Champlin,Runaway,4,1981
29688,Billy Bragg,Workers Playtime,1,1988
30216,Billy Joel,A Matter Of Trust: The Bridge to Russia: The Concert,1,1987
30825,Billy Satellite,Billy Satellite,6,1984
31604,Black Dub,Black Dub,1,1983
32305,Black Sabbath,The Eternal Idol,6,1987
34182,Blue Mercedes,Rich And Famous,5,1988
35709,Bob Dylan,"Trouble No More: The Bootleg Series, Vol. 13 / 1979-1981",1,1981
35886,Bob James,Ivory Coast,2,1988
36726,Bobby And The Midnites,Where The Beat Meets The Street,3,1984
37644,Boingo,Boingo,3,1985
39585,Box Of Frogs,Strange Land,3,1986
39604,Boy George,Sold,5,1987
40753,Branford Marsalis,Scenes In The City,7,1984
41123,Breakwater,Breakwater,5,1980
41133,Breakwater,Splashdown,5,1980
42745,Bronski Beat,Truthdare...Doubledare,6,1986
44084,Bruce Springsteen & The E Street Band,Ties That Bind: The River Collection,3,1980
44791,Buckwheat Zydeco,On A Night Like This,5,1987
44800,Buckwheat Zydeco,Taking It Home,7,1988
45369,Buffy Sainte-Marie,The Best Of Buffy Sainte-Marie,7,1987
46855,Cactus World News,Urban Beaches,5,1986
47969,Candlemass,Ancient Dreams,6,1988
48729,Carl Wilson,Carl Wilson,2,1981
48802,Carlene Carter,Musical Shapes,6,1980
48814,Carlos Santana,Blues For Salvador,1,1987
49847,"Carreras, Domingo, Pavarotti (Metha & Levine)",Christmas Favorites...,4,1981
49914,Carrie Lucas,Portrait Of Carrie,3,1980
51961,Champaign,Woman In Flames,3,1984
52007,Change,This Is Your Time,7,1983
53019,Chayanne,Desde Siempre,3,1988
53302,Cheech & Chong,Let's Make A New Dope Deal,3,1980
53861,Cheryl Lynn,Preppie,5,1983
54213,Chic,Tongue In Chic,6,1982
54667,Chick Corea,Tap Step,3,1980
54674,Chick Corea,Three Quartets,4,1981
55073,China Crisis,Flaunt The Imperfection,4,1985
57006,Christopher Cross,Every Turn Of The World,6,1985
57196,Chuck Berry,Rock 'N' Roll Rarities,3,1986
57695,Circus Of Power,Circus Of Power,2,1988
57964,Clannad,Sirius,5,1988
57997,Clarence Carter,Let's Burn,3,1980
58507,Cliff Richard,Wired For Sound,4,1981
58715,Club Nouveau,Listen To The Message,6,1988
59481,Cold Chisel,East,6,1980
60620,Company B,Company B,6,1987
62918,"Crosby, Stills & Nash",Replay,5,1980
63885,Cutting Crew,The Scattering,6,1989
66159,Dan Reed Network,Slam,6,1989
66742,Danny Joe Brown And The Danny Joe Brown Band,Danny Joe Brown And The Danny Joe Brown Band,7,1981
67096,Dark Angel,Leave Scars,6,1989
68232,Dave Grusin & Lee Ritenour,Harlequin,2,1985
69103,David Allan Coe,Castles In The Sand,5,1983
69344,David Benoit,Waiting For Spring,3,1989
70920,David Lanz,Cristofori's Dream,6,1988
70970,David Lee Roth,David Lee Roth: The Best,1,1988
71017,David Lindley & El Rayo-X,Very Greasy,6,1988
71808,Dead Or Alive,Rip It Up,2,1987
72199,Death,Scream Bloody Gore,1,1987
72745,Deep Purple,Deepest Purple: The Very Best Of Deep Purple,4,1980
73996,Demis Roussos,Demis Roussos,6,1987
75605,Devo,Shout,6,1984
76251,Diana Ross,Workin' Overtime,6,1989
77184,Dionne Warwick,Greatest Hits 1979-1990,7,1989
78780,"Dolly Parton, Emmylou Harris, Linda Ronstadt",Trio: The Complete Trio Collection,1,1987
79256,Don Williams,20 Greatest Hits,1,1987
79614,Donna Summer,All Systems Go,6,1987
81308,Dream Syndicate,Medicine Show,4,1984
83115,Dynasty,The Second Adventure,4,1981
84026,Earl Klugh,Whispers And Promises,5,1989
84410,Ebn/ozn,Feeling Cavalier,4,1984
84449,Echo & The Bunnymen,Heaven Up Here,2,1981
85138,Eddy Arnold,"The Best Of Eddy Arnold, Volume II",2,1988
89513,Emmylou Harris,Angel Band,4,1987
89718,Emmylou Harris,The Ballad Of Sally Rose,4,1985
89750,Emmylou Harris,Thirteen,6,1986
90312,Entouch,All Nite,4,1989
90330,Enuff Z'Nuff,Strength,6,1982
90526,Erasure,Erasure,3,1988
90606,Erasure,The Two Ring Circus,3,1987
90877,Eric Carmen,Tonight You're Mine,5,1980
91602,Eric Martin Band,Sucker For A Pretty Face,2,1983
92208,Esther Phillips,Confessin' The Blues,4,1987
92370,Eumir Deodato,Night Cruiser,3,1980
92706,"Evelyn ""Champagne"" King",Flirt,3,1988
95088,Fates Warning,Awaken The Guardian,4,1986
96497,Flash & The Pan,Lights In The Night,6,1980
96825,Fleetwood Mac,Live In Boston,2,1985
97563,Floyd Cramer,Dallas,5,1980
97850,Foghat,In The Mood For Something Rude,5,1982
97889,Foghat,Zig-Zag Walk,1,1983
98168,Force M.D.'s,Love Letters,4,1984
98495,Foster & Lloyd,Faster & Llouder,6,1989
100235,Frank Zappa,The Man From Utopia,5,1983
100248,Frank Zappa,You Are What You Is,7,1981
101730,Fun Boy Three,Waiting,7,1983
102895,Gang Of Four,Another Day/another Dollar,2,1982
102901,Gang Of Four,Solid Gold,2,1981
102911,Gang Of Four,Songs Of The Free,3,1982
103193,Garland Jeffreys,Guts For Love,4,1982
103214,Garland Jeffreys,Rock And Roll Adult,4,1981
103600,Gary Moore,Run For Cover,7,1985
103622,Gary Moore,Victims Of The Future,5,1983
103652,Gary Numan,Dance,4,1981
103964,Gato Barbieri,Tropico,7,1989
104800,George Benson,Tenderly,6,1989
105013,George Clinton,Some Of My Best Jokes Are Friends,6,1985
105103,George Duke,Guardian Of The Light,7,1983
105170,George Duke,Thief In The Night,5,1985
105289,George Harrison,Gone Troppo,7,1982
105396,George Howard,Dancing In The Sun,4,1985
105426,George Howard,Steppin' Out,4,1984
106173,George Strait,Right Or Wrong,7,1983
106564,Gerald Albright,Just Between Us,5,1987
107340,Gil Scott-Heron,Real Eyes,6,1980
107878,Girlschool,Hit And Run,5,1981
108378,Glen Campbell,It's The World Gone Crazy,3,1981
109537,Golden Earring,Something Heavy Going Down,6,1984
109547,Golden Earring,The Hole,2,1986
110092,Gordon Lightfoot,East Of Midnight,6,1986
110672,Grace Jones,Island Life,7,1985
110889,Graham Nash,Innocent Eyes,7,1986
111132,Grand Funk Railroad,Grand Funk Lives,5,1981
111266,Grandmaster Flash,Ba-Dop-Boom-Bang,1,1987
111280,Grandmaster Flash,The Source,6,1986
111290,Grandmaster Flash & The Furious Five,On The Strength,3,1988
112590,Greg Kihn Band,Glass House Rock,5,1980
116259,Harvey Mason,M.v.p.,3,1981
117368,Helix,No Rest For The Wicked,4,1983
118143,Herbie Hancock,Lite Me Up,6,1982
118151,Herbie Hancock,Magic Windows,6,1981
118164,Herbie Hancock,Mr. Hands,6,1980
119704,Hoodoo Gurus,Mars Needs Guitars,7,1985
121722,Ian McCulloch,Candleland,1,1989
122120,Icehouse,Primitive Man,6,1982
122444,Iggy Pop,Soldier,7,1980
123623,Indigo Girls,Rarities,1,1986
123641,Indigo Girls,Retrospective,4,1987
124172,Instant Funk,Looks So Fine,7,1982
124732,Iron Maiden,Maiden England '88,1,1988
125791,J.J. Cale,Shades,7,1981
126323,Jack Bruce & Robin Trower,Truce,6,1982
129675,Jane Olivor,In Concert,6,1982
130005,Janet Jackson,Dream Street,6,1984
130099,Janis Ian,Restless Eyes,3,1981
131326,Jean Knight,My Toot Toot,4,1985
131373,Jean Luc Ponty,Fables,4,1985
132015,Jeff Lorber,In The Heat Of The Night,7,1984
132921,Jenny Burton,In Black & White,4,1983
134404,Jesse Winchester,Talk Memphis,2,1981
136825,Jimmy Cliff,Special,2,1982
137228,Jimmy Somerville,Read My Lips,2,1989
138756,Joe Cocker,Heart & Soul,3,1987
138965,Joe Ely,Live Shots,3,1980
139367,Joe Satriani,Joe Satriani,7,1987
139991,John Anderson,All The People Are Talkin',5,1983
142519,John Prine,Storm Windows,7,1980
143673,Johnny Clegg & Savuka,Shadow Man,7,1988
143875,Johnny Mathis,Different Kinda Different,5,1980
144359,Johnny Mathis & Henry Mancini,The Hollywood Musicals,2,1986
144762,Jon And Vangelis,Private Collection,7,1983
144778,Jon Anderson,Animation,5,1982
147662,Judy Collins,Times Of Our Lives,5,1982
148040,Julian Cope,Julian Cope,6,1987
148221,Julio Iglesias,From A Child To A Woman,6,1981
148231,Julio Iglesias,Hey!,6,1980
148264,Julio Iglesias,Moments,4,1982
148320,Juluka,Scatterlings,5,1982
149840,KIX,Cool Kids,7,1983
150388,Kano,New York Cake,4,1981
150404,Kansas,Best Of Kansas,5,1984
150425,Kansas,In The Spirit Of Things,6,1988
152701,Keith Whitley,I Wonder Do You Think Of Me,7,1989
153937,Kenny Rankin,After The Roses,6,1980
153968,Kenny Rogers,Christmas In America,6,1989
154812,Kid Creole & The Coconuts,Fresh Fruit In Foreign Places,2,1981
