,artist,album,albumcount,year
855,2 Low,Funky Lil Brotha,6,1993
1296,2nd II None,Classic 220,1,1999
1514,311,Grassroots,1,1994
1664,38 Special,Bone Against Steel,7,1991
1793,3X Krazy,Stackin Chips,4,1997
1907,4Him,Best Ones,1,1995
1921,4Him,Message,4,1997
1932,4Him,Obvious,5,1998
2140,5th Ward Boyz,P.W.A. The Album... Keep It Poppin',3,1999
2158,5th Ward Boyz,Rated G,1,1995
2172,5th Ward Boyz,Usual Suspects,1,1997
2189,69 Boyz,The Wait Is Over,4,1998
2511,95 South,One Mo' Gen,2,1995
2562,999,The Biggest Prize In Sport,3,1995
3169,A Tribe Called Quest,The Anthology,6,1999
3789,AC/DC,Bonfire,5,1997
4237,AZ,Doe Or Die,6,1995
4249,AZ,Pieces Of A Man,6,1998
4339,Aaron Hall,Inside Of You,5,1998
4444,Aaron Neville,To Make Me Who I Am,1,1997
4699,Above The Law,Vocally Pimpin',4,1991
6253,Aimee Mann,@#%&*! Smilers,3,1999
6280,Aimee Mann,I'm With Stupid,4,1995
6489,Akinyele,Put It In Your Mouth (EP),4,1996
7329,Alabama,Christmas Volume II,6,1996
7881,Alan Jackson,Playlist: The Very Best Of Alan Jackson,1,1991
8043,Alan Parsons,Try Anything Once,4,1993
8066,Alana Davis,Blame It On Me,7,1997
8302,Albert King With Stevie Ray Vaughan,In Session,3,1999
8361,Aldo Nova,Blood On The Bricks,7,1991
8510,Alejandro Fernandez,Mi Verdad,3,1999
9271,Alice In Chains,Music Bank,1,1990
10185,All-4-One,An All-4-One Christmas,7,1995
10619,Amanda Marshall,Amanda Marshall,7,1996
11493,Amy Grant,In Motion: The Remixes,1,1991
12371,Andreas Vollenweider,Book OF Roses,5,1991
12529,Andrew Dice Clay,40 Too Long,4,1992
12681,Andrew Lloyd Webber,Very Best Of...Broadway Collection,7,1996
13714,Ani DiFranco,Dilate,4,1996
13764,Ani DiFranco,Living In Clip,5,1997
13850,Ani DiFranco,To The Teeth,2,1999
13875,Ani DiFranco,up up up up up up,7,1999
14007,Anita Cochran,Back To You,4,1997
14849,Anthrax,Stomp 442,3,1995
15049,Apache,Apache Ain't Shit,6,1993
15912,Aretha Franklin,What You See Is What You Sweat,7,1991
16192,Armageddon,Armageddon,6,1998
16673,Artifacts,Between A Rock And A Hard Place,1,1994
16687,Artifacts,That's Them,1,1997
17989,Audio Adrenaline,Some Kind Of Zombie,5,1997
18012,Audio Adrenaline,Underdog,7,1999
18508,Avalon,A Maze Of Grace,1,1997
19227,B Angie B,B Angie B,6,1991
19367,B.B. King,Blues On The Bayou,2,1998
19382,B.B. King,Blues Summit,1,1993
