,artist,album,albumcount,year
74,"""Weird Al"" Yankovic",Alpocalypse,6,2011
210,$uicideBoy$,I Want To Die In New Orleans,4,2018
224,'68,In Humor And Sadness,1,2014
275,'N Sync,The Essential *NSync,2,2014
362,(hed) p.e.,Insomnia,1,2019
398,(hed) p.e.,Truth Rising,1,2010
432,...And You Will Know Us By The Trail Of Dead,The Century Of Self,1,2013
484,10 Years,Feeding The Wolves,4,2010
498,10 Years,From Birth To Burial,1,2015
509,10 Years,Minus The Machine,2,2012
684,112,Q Mike Slim Daron,1,2017
741,12 Stones,Beneath The Scars,1,2012
766,12 Stones,The Only Easy Day Was Yesterday (EP),1,2010
837,2 Chainz,The Play Don't Care Who Makes It (EP),1,2018
886,2 Unlimited,Get Ready,1,2013
922,21 Savage,I Am > I Was,3,2018
971,21:03,Outsiders (EP),1,2015
980,2AM Club,What Did You Think Was Going To Happen?,1,2010
991,2Cellos,2Cellos,3,2017
1005,2Cellos,Celloverse,1,2015
1018,2Cellos,In2ition,1,2013
1045,2NE1,Crush,1,2014
1388,3 Doors Down,Us And The Night,3,2016
1412,3 Inches Of Blood,Here Waits Thy Doom,1,2010
1424,3 Winans Brothers,Foreign Land,1,2014
1438,311,Archive,2,2015
1546,311,MOSAIC,2,2017
1576,311,Stereolithic,3,2014
1612,311,Universal Pulse,5,2011
1642,36 Crazyfists,Collisions And Castaways,1,2010
1696,3BallMTY,Intentalo,5,2011
1733,3OH!3,Night Sports,1,2016
1744,3OH!3,Omens,1,2013
1889,4 Runner,4 Runner,5,2018
1944,4TROOPS,4TROOPS,6,2010
1957,5 Seconds Of Summer,LIVESOS,7,2014
2042,50 Cent,Best Of 50 Cent,6,2017
2125,5th Ward Boyz,Ghetto Dope,3,2013
2256,6ix9ine,DUMMY BOY,7,2018
2346,88rising,Head In The Clouds,1,2018
2365,8Ball,Life's Quest,2,2012
2496,8Ball & MJG,Ten Toes Down,6,2010
2577,9th Wonder,The Wonder Years,1,2011
2629,A Boogie Wit da Hoodie,Hoodie SZN,3,2018
2649,A Boogie Wit da Hoodie,International Artist,4,2018
2690,A Day To Remember,Bad Vibrations,4,2016
2768,A Fine Frenzy,Pines,2,2012
2781,A Firm Handshake,Fix Me Up (EP),2,2013
2825,A Great Big World,When The Morning Comes,1,2015
2837,A Lot Like Birds,No Place,1,2013
2847,A Perfect Circle,Eat The Elephant,4,2018
2883,A Perfect Circle,Three Sixty,1,2013
2923,A R I Z O N A,Gallery,1,2017
2947,A Rocket To The Moon,Wild & Free,1,2013
2964,A Skylit Drive,ASD,1,2015
2988,A Skylit Drive,Identity On Fire,1,2011
3078,A Thousand Horses,Southernality,7,2015
