,id,song,album,artist,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,album_id,date
2911,5ghIJDpPoe3CfHMGu71E6T,Smells Like Teen Spirit,Nevermind,Nirvana,2.86e-05,0.516,301920.0,0.906,0.000101,1.0,0.105,-4.525,1.0,0.0658,116.775,4.0,0.728,2guirTSEqLizK7j9i1MTTZ,1991-09-26
2912,30HCB1FoE77IfGRyNv4eFq,In Bloom - Nevermind Version,Nevermind,Nirvana,4.58e-05,0.496,255080.0,0.878,9.4e-05,10.0,0.268,-4.822,0.0,0.0549,79.029,4.0,0.548,2guirTSEqLizK7j9i1MTTZ,1991-09-26
2913,4P5KoWXOxwuobLmHXLMobV,Come As You Are,Nevermind,Nirvana,0.000182,0.505,218920.0,0.825,0.000948,4.0,0.0855,-5.721,0.0,0.0401,119.987,4.0,0.541,2guirTSEqLizK7j9i1MTTZ,1991-09-26
2914,5mJGLBNJM0GULqAoL5mb9C,Breed,Nevermind,Nirvana,4.54e-06,0.261,184040.0,0.964,0.0231,11.0,0.138,-4.598,1.0,0.0923,158.6,4.0,0.295,2guirTSEqLizK7j9i1MTTZ,1991-09-26
2915,2YodwKJnbPyNKe8XXSE9V7,Lithium,Nevermind,Nirvana,0.00203,0.68,257053.0,0.65,0.0,7.0,0.0622,-6.336,1.0,0.0378,123.238,4.0,0.486,2guirTSEqLizK7j9i1MTTZ,1991-09-26
2916,3tlXDvaNrrOmdvG0XVUOcv,Polly,Nevermind,Nirvana,0.895,0.829,173853.0,0.371,0.205,2.0,0.113,-11.146,0.0,0.0618,121.136,4.0,0.562,2guirTSEqLizK7j9i1MTTZ,1991-09-26
2917,2jmVGWe4MYY1zAAzpFHHcC,Territorial Pissings,Nevermind,Nirvana,0.000256,0.28,142947.0,0.976,0.0,2.0,0.215,-4.387,1.0,0.162,182.483,4.0,0.107,2guirTSEqLizK7j9i1MTTZ,1991-09-26
2918,5Ddlk6C2JVxb1SReZ6O1wk,Drain You,Nevermind,Nirvana,0.000157,0.324,223880.0,0.916,1.54e-06,11.0,0.17,-5.607,0.0,0.0736,132.837,4.0,0.194,2guirTSEqLizK7j9i1MTTZ,1991-09-26
2919,7glld4kxYHp61zIPtSVHNk,Lounge Act,Nevermind,Nirvana,1.2e-05,0.322,156427.0,0.958,3.34e-05,11.0,0.119,-5.377,0.0,0.0992,151.957,4.0,0.464,2guirTSEqLizK7j9i1MTTZ,1991-09-26
2920,4l012k8ZcAdVbUvZ4kae5Q,Stay Away,Nevermind,Nirvana,9.22e-06,0.385,211440.0,0.978,0.0358,11.0,0.0829,-5.098,0.0,0.143,165.287,4.0,0.239,2guirTSEqLizK7j9i1MTTZ,1991-09-26
2921,651koV4RRMMX6NDbW1ElwP,On A Plain,Nevermind,Nirvana,0.000195,0.413,194427.0,0.945,3.57e-06,2.0,0.16,-4.716,1.0,0.103,133.379,4.0,0.369,2guirTSEqLizK7j9i1MTTZ,1991-09-26
2922,1nFtiJxYdhtFfFtfXBv06s,Something In The Way,Nevermind,Nirvana,0.742,0.444,232147.0,0.2,0.42,8.0,0.11,-12.852,1.0,0.0304,105.566,4.0,0.0777,2guirTSEqLizK7j9i1MTTZ,1991-09-26
2923,0vNHCXmNzVa8h54SE3JDm7,"Endless, Nameless",Nevermind,Nirvana,0.000355,0.266,403293.0,0.964,0.889,7.0,0.084,-5.693,1.0,0.131,130.065,4.0,0.0697,2guirTSEqLizK7j9i1MTTZ,1991-09-26
3531,2crPaOwtpn1qq9gjEjOa4u,You Give Good Love,I Will Always Love You: The Best Of Whitney Houston,Whitney Houston,0.685,0.493,276187.0,0.433,0.0,2.0,0.0668,-10.736,0.0,0.0396,149.768,4.0,0.52,1rHNR6cz7WzrGmuqL9Wlyq,2012-11-12
3532,3ihR3mS0KYuMdDhCzrWjZp,Saving All My Love for You,I Will Always Love You: The Best Of Whitney Houston,Whitney Houston,0.576,0.401,237320.0,0.313,6.42e-05,6.0,0.092,-11.74,0.0,0.0324,198.23,3.0,0.252,1rHNR6cz7WzrGmuqL9Wlyq,2012-11-12
3533,6mv30SInldy4Ijy1XZ9GdO,How Will I Know,I Will Always Love You: The Best Of Whitney Houston,Whitney Houston,0.202,0.838,273413.0,0.664,0.000146,6.0,0.621,-9.176,1.0,0.0445,119.6,4.0,0.929,1rHNR6cz7WzrGmuqL9Wlyq,2012-11-12
